"Park","Site","Lat","Long","State","Country","County","Locality","HeatLoad","TimesBurnt","SiteStatus","Aspect","DomSp","Slope","FirePerim"
"YOSE","L23",37.67460178,119.4708745,"CA","USA","Mariposa","Illilouette basin",0.75617932,2,"MOD",238,"L",8,NA
"YOSE","L25",37.6797693,119.4869646,"CA","USA","Mariposa","Illilouette basin",0.785512711,2,"HIGH",260,"L",7,NA
"YOSE","L31",37.67592972,119.4980831,"CA","USA","Mariposa","Illilouette basin",0.150619027,3,"MOD",1,"L",10,NA
"YOSE","L32",37.67767467,119.4982324,"CA","USA","Mariposa","Illilouette basin",0.406948553,3,"LOW",180,"L",10,NA
"YOSE","L37",37.66161469,119.4953473,"CA","USA","Mariposa","Illilouette basin",0.68707977,3,"LOW",289,"L",9,NA
"YOSE","N1310",37.67796996,119.572008,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,12,NA,3,NA
"YOSE","N1311",37.68206402,119.549473,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,NA,NA,NA,NA
"YOSE","N1312",37.68225999,119.540409,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,NA,NA,NA,NA
"YOSE","N1313",37.68230902,119.538143,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,NA,NA,NA,NA
"YOSE","N1314",37.67271602,119.565025,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,300,NA,3,NA
"YOSE","N1315",37.68420702,119.533673,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,NA,NA,NA,NA
"YOSE","N1316",37.67237403,119.496992,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,NA,NA,NA,NA
"YOSE","N1317",37.64117902,119.523144,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,60,NA,2,NA
"YOSE","N1318",37.64122797,119.520879,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,35,NA,10,NA
"YOSE","N1319",37.64298004,119.523205,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,198,NA,9,NA
"YOSE","N1320",37.64302899,119.52094,"CA","USA","Mariposa","Illilouette basin",NA,NA,NA,53,NA,1,NA
