"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies"
"N133","7/23/13","finishing bloom",4,"Apocynum","androsaemifolium","",""
"N133","7/25/13","finishing bloom",4,"Apocynum","androsaemifolium","",""
"N133","6/18/14","beginning to bloom to bloom",2,"Apocynum","androsaemifolium","",""
"N133","7/7/14","full bloom",4,"Apocynum","androsaemifolium","",""
"N133","7/10/14","full bloom",3,"Apocynum","androsaemifolium","",""
"N133","7/18/14","full bloom",2,"Apocynum","androsaemifolium","",""
"N135","7/8/13","beginning to bloom",2,"Apocynum","androsaemifolium","",""
"N135","7/11/13","beginning to bloom",2,"Apocynum","androsaemifolium","",""
"N135","7/22/13","finishing bloom",1,"Apocynum","androsaemifolium","",""
"N135","7/25/13","finishing bloom",1,"Apocynum","androsaemifolium","",""
"N135","6/18/14","not blooming",0,"Apocynum","androsaemifolium","",""
"N135","7/6/14","full bloom",5,"Apocynum","androsaemifolium","",""
"N135","7/9/14","finishing bloom",3,"Apocynum","androsaemifolium","",""
"N135","7/19/14","finishing bloom",2,"Apocynum","androsaemifolium","",""
"N137","7/9/13","full bloom",3,"Apocynum","androsaemifolium","",""
"N137","7/12/13","full bloom",3,"Apocynum","androsaemifolium","",""
"N137","7/24/13","finishing bloom",3,"Apocynum","androsaemifolium","",""
"N137","7/26/13","finishing bloom",2,"Apocynum","androsaemifolium","",""
"N137","6/19/14","not blooming",0,"Apocynum","androsaemifolium","",""
"N137","7/7/14","full bloom",2,"Apocynum","androsaemifolium","",""
"N137","7/10/14","full bloom",2,"Apocynum","androsaemifolium","",""
"N137","7/19/14","full bloom",3,"Apocynum","androsaemifolium","",""
"N139","7/9/13","beginning to bloom",1,"Apocynum","androsaemifolium","",""
"N139","7/12/13","full bloom",3,"Apocynum","androsaemifolium","",""
"N139","7/24/13","finishing bloom",2,"Apocynum","androsaemifolium","",""
"N139","7/26/13","finishing bloom",2,"Apocynum","androsaemifolium","",""
"N139","6/18/14","full bloom",1,"Apocynum","androsaemifolium","",""
"N139","7/6/14","full bloom",2,"Apocynum","androsaemifolium","",""
"N139","7/9/14","full bloom",2,"Apocynum","androsaemifolium","",""
"N139","7/18/14","full bloom",2,"Apocynum","androsaemifolium","",""
"P24","6/27/13","not blooming",0,"Apocynum","androsaemifolium","",""
"P24","7/13/13","not blooming",0,"Apocynum","androsaemifolium","",""
"P24","7/19/13","not blooming",0,"Apocynum","androsaemifolium","",""
"P24","7/29/13","not blooming",0,"Apocynum","androsaemifolium","",""
"P24","6/12/14","not blooming",0,"Apocynum","androsaemifolium","",""
