Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector
L21,7/13/2013,RAISCA,Raillardella scaposa,FULL,2,LKM
L21,7/17/2013,RAISCA,Raillardella scaposa,FULL,2,LCP
L21,7/30/2013,RAISCA,Raillardella scaposa,FINISHING,2,LCP
L21,6/26/2013,TRADUB,Tragopogon dubius,BEGINNING,1,LCP
L21,7/13/2013,TRADUB,Tragopogon dubius,FULL,1,LKM
L21,7/17/2013,TRADUB,Tragopogon dubius,FULL,1,LCP
L21,7/30/2013,TRADUB,Tragopogon dubius,FINISHING,1,LCP
L21,6/26/2013,WYEMOL,Wyethia mollis,FULL,3,LCP
L21,7/13/2013,WYEMOL,Wyethia mollis,FINISHING,3,LKM
L21,7/17/2013,WYEMOL,Wyethia mollis,FINISHING,2,LCP
L21,7/30/2013,WYEMOL,Wyethia mollis,FINISHING,1,LCP
L24,6/27/2013,ACHMIL,Achillea millefolium,FULL,3,LKM
L24,7/13/2013,ACHMIL,Achillea millefolium,FULL,3,SB
L24,7/18/2013,ACHMIL,Achillea millefolium,FULL,3,LCP
L24,7/31/2013,ACHMIL,Achillea millefolium,FINISHING,3,LCP
L24,6/27/2013,ARNNEV,Arnica nevadensis,FULL,1,LKM
L24,7/13/2013,ARNNEV,Arnica nevadensis,FINISHING,1,SB
L24,7/18/2013,ARNNEV,Arnica nevadensis,FINISHING,1,LCP
L24,7/31/2013,ARNNEV,Arnica nevadensis,FINISHING,1,LCP
L24,6/27/2013,Calochortus spp.,Calochortus spp.,FULL,1,LKM
L24,7/13/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,0,SB
L24,7/18/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,0,LCP
L24,7/31/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,0,LCP
L24,6/27/2013,COLGRA,Collomia grandiflora,NOT BLOOMING,0,LKM
L24,7/13/2013,COLGRA,Collomia grandiflora,FULL,1,SB
L24,7/18/2013,COLGRA,Collomia grandiflora,FINISHING,1,LCP
L24,7/31/2013,COLGRA,Collomia grandiflora,FINISHING,1,LCP
L24,6/27/2013,COLTOR,Collinsia torreyi var. torreyi,FULL,1,LKM
L24,7/13/2013,COLTOR,Collinsia torreyi var. torreyi,NOT BLOOMING,0,SB
L24,7/18/2013,COLTOR,Collinsia torreyi var. torreyi,NOT BLOOMING,0,LCP
L24,7/31/2013,COLTOR,Collinsia torreyi var. torreyi,NOT BLOOMING,0,LCP
L24,6/27/2013,EPIANG,Epilobium angustifloium ssp. circumvagum,BEGINNING,1,LKM
L24,7/13/2013,EPIANG,Epilobium angustifloium ssp. circumvagum,FULL,1,SB
L24,7/18/2013,EPIANG,Epilobium angustifloium ssp. circumvagum,FULL,1,LCP
L24,7/31/2013,EPIANG,Epilobium angustifloium ssp. circumvagum,FINISHING,1,LCP
L24,6/27/2013,ERIBRE,Erigeron brewerii var. brewerii,BEGINNING,1,LKM
L24,7/13/2013,ERIBRE,Erigeron brewerii var. brewerii,FULL,2,SB
L24,7/18/2013,ERIBRE,Erigeron brewerii var. brewerii,FULL,2,LCP
L24,7/31/2013,ERIBRE,Erigeron brewerii var. brewerii,FINISHING,2,LCP
L24,6/27/2013,GAYDIF,Gayophytum diffusum ,FULL,4,LKM
L24,7/13/2013,GAYDIF,Gayophytum diffusum ,FULL,4,SB
L24,7/18/2013,GAYDIF,Gayophytum diffusum ,FULL,4,LCP
L24,7/31/2013,GAYDIF,Gayophytum diffusum ,FINISHING,3,LCP
L24,6/27/2013,GAYERI,Gayophytum eriospermum,FULL,2,LKM
L24,7/13/2013,GAYERI,Gayophytum eriospermum,FULL,2,SB
L24,7/18/2013,GAYERI,Gayophytum eriospermum,FULL,2,LCP
L24,7/31/2013,GAYERI,Gayophytum eriospermum,FINISHING,2,LCP
L24,6/27/2013,Gnaphalium sp.,Pseudognaphalium spp.,NOT BLOOMING,0,LKM
L24,7/13/2013,Gnaphalium sp.,Pseudognaphalium spp.,FULL,2,SB
L24,7/18/2013,Gnaphalium sp.,Pseudognaphalium spp.,FULL,2,LCP
L24,7/31/2013,Gnaphalium sp.,Pseudognaphalium spp.,FULL,2,LCP
L24,6/27/2013,HIEALB,Hieracium albiflorum,FULL,1,LKM
L24,7/13/2013,HIEALB,Hieracium albiflorum,FULL,1,SB
L24,7/18/2013,HIEALB,Hieracium albiflorum,FULL,1,LCP
L24,7/31/2013,HIEALB,Hieracium albiflorum,FINISHING,1,LCP
L24,6/27/2013,HYPRAD,Hypochaeris radicata,NOT BLOOMING,0,LKM
L24,7/13/2013,HYPRAD,Hypochaeris radicata,FULL,1,SB
L24,7/18/2013,HYPRAD,Hypochaeris radicata,FULL,1,LCP
L24,7/31/2013,HYPRAD,Hypochaeris radicata,NOT BLOOMING,0,LCP
L24,6/27/2013,LUPLAT,Lupinus latifolius var.columbianus,FULL,2,LKM
L24,7/13/2013,LUPLAT,Lupinus latifolius var.columbianus,FULL,2,SB
L24,7/18/2013,LUPLAT,Lupinus latifolius var.columbianus,FINISHING,2,LCP
L24,7/31/2013,LUPLAT,Lupinus latifolius var.columbianus,FINISHING,2,LCP
L24,6/27/2013,Osmorhiza sp.,Osmorhiza bertero chilensis,NOT BLOOMING,0,LKM
L24,7/13/2013,Osmorhiza sp.,Osmorhiza bertero chilensis,FULL,3,SB
L24,7/18/2013,Osmorhiza sp.,Osmorhiza bertero chilensis,FULL,3,LCP
L24,7/31/2013,Osmorhiza sp.,Osmorhiza bertero chilensis,FINISHING,2,LCP
L24,6/27/2013,PHAHAS,Phacelia hastata ssp. compacta,FULL,3,LKM
L24,7/13/2013,PHAHAS,Phacelia hastata ssp. compacta,FINISHING,2,SB
L24,7/18/2013,PHAHAS,Phacelia hastata ssp. compacta,FINISHING,2,LCP
L24,7/31/2013,PHAHAS,Phacelia hastata ssp. compacta,FINISHING,2,LCP
L24,6/27/2013,POTDRU,Potentilla drummondii ssp. brewerii,FULL,3,LKM
L24,7/13/2013,POTDRU,Potentilla drummondii ssp. brewerii,FULL,3,SB
L24,7/18/2013,POTDRU,Potentilla drummondii ssp. brewerii,FINISHING,2,LCP
L24,7/31/2013,POTDRU,Potentilla drummondii ssp. brewerii,FINISHING,2,LCP
L24,6/27/2013,POTGLA,Potentilla glandulosa,FULL,1,LKM
L24,7/13/2013,POTGLA,Potentilla glandulosa,FULL,1,SB
L24,7/18/2013,POTGLA,Potentilla glandulosa,FINISHING,1,LCP
L24,7/31/2013,POTGLA,Potentilla glandulosa,FINISHING,1,LCP
L24,6/27/2013,SOLCAN,Solidago canadensis ssp. elongata,NOT BLOOMING,0,LKM
L24,7/13/2013,SOLCAN,Solidago canadensis ssp. elongata,BEGINNING,3,SB
L24,7/18/2013,SOLCAN,Solidago canadensis ssp. elongata,BEGINNING,3,LCP
L24,7/31/2013,SOLCAN,Solidago canadensis ssp. elongata,FINISHING,4,LCP
L24,6/27/2013,TRADUB,Tragopogon dubius,NOT BLOOMING,0,LKM
L24,7/13/2013,TRADUB,Tragopogon dubius,FULL,1,SB
L24,7/18/2013,TRADUB,Tragopogon dubius,FINISHING,1,LCP
L24,7/31/2013,TRADUB,Tragopogon dubius,FINISHING,1,LCP
L33,6/29/2013,Calochortus spp.,Calochortus spp.,FULL,1,CRP
L33,7/13/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,0,GH
L33,7/19/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,0,LCP
L33,7/31/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,0,CRP
L33,6/29/2013,CHADOU,Chaenactis douglasii var. douglasii,FULL,2,CRP
L33,7/13/2013,CHADOU,Chaenactis douglasii var. douglasii,FINISHING,1,GH
L33,7/19/2013,CHADOU,Chaenactis douglasii var. douglasii,FINISHING,1,LCP
L33,7/31/2013,CHADOU,Chaenactis douglasii var. douglasii,NOT BLOOMING,0,CRP
L33,6/29/2013,ERIUMB,Eriogonum umbellatum,NOT BLOOMING,0,CRP
L33,7/13/2013,ERIUMB,Eriogonum umbellatum,BEGINNING,3,GH
L33,7/19/2013,ERIUMB,Eriogonum umbellatum,FULL,3,LCP
L33,7/31/2013,ERIUMB,Eriogonum umbellatum,FINISHING,2,CRP
L33,6/29/2013,GAYDIF,Gayophytum diffusum ,FULL,3,CRP
L33,7/13/2013,GAYDIF,Gayophytum diffusum ,FULL,3,GH
L33,7/19/2013,GAYDIF,Gayophytum diffusum ,FULL,3,LCP
L33,7/31/2013,GAYDIF,Gayophytum diffusum ,FULL,2,CRP
L33,6/29/2013,GAYERI,Gayophytum eriospermum,FULL,1,CRP
L33,7/13/2013,GAYERI,Gayophytum eriospermum,FULL,1,GH
L33,7/19/2013,GAYERI,Gayophytum eriospermum,FULL,1,LCP
