"GenusSpecies","NestLoc","Excavate","Sociality","Lecty","MeanITD","Specimen1","Specimen2","Specimen3","Specimen4","Specimen5","Neal","InKremen","PredForDist_Typical","CILow_Typical","CIHigh_Typical","PredForDist_Feeder","CILow_Feeder","CIHigh_Feeder","PredForDist_HomingMax","CILow_HomingMax","CIHigh_HomingMax","abun.net","abun.pan","num.occ.net","num.occ.pan","degree","normalised.degree","nestedrank","species.strength","interaction.push.pull","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweeness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Triepeolus concavus","below",NA,"parasite",NA,2.7125,2.59375,2.625,2.96875,2.59375,2.78125,"no","yes","0.788190647","0.259795724","2.391280678","1.27428371","0.51162782","2.966855683","1.10045372","0.388761946","2.950856224",4,0,4,0,"4","0.0317460317460317","0.533898305084746","0.00656567935322304","-0.248358580161694","0.976","0.976","0.493963561409139","0.00164141983830576","1.32203389830508",NA,"0",NA,"0.000482447727534674","35168.6827595786","1.38629436111989","4","0.39266687558759","0.263622657612147","0.0964400385073984"
"Triepeolus heterurus",NA,NA,"parasite",NA,1.653012,1.686747,1.686747,1.638554,1.686747,1.566265,"no","yes","0.392448803","0.168097794","0.916228939","0.774817627","0.398823473","1.551790172","0.533507067","0.244397232","1.133067128",46,26,21,15,"11","0.0873015873015873","0.169491525423729","0.309079588775137","-0.0628109464749875","0.979692307692308","0.92","0.400793164463329","0.037251470783495","1.14406779661017",NA,"0",NA,"0.00253588386532208","4.57966239925816","2.02962416669979","7.61122526925568","0.325197907157358","0.501622858291477","0.252153987922491"
"Triepeolus melanarius",NA,NA,"parasite",NA,1.78213272,1.6666667,2,1.6666667,1.6385542,1.938776,"no","yes","0.436288142","0.179586669","1.059919112","0.83562471","0.414197888","1.524050348","0.595510766","0.262246236","1.310335479",12,5,5,5,"2","0.0158730158730159","0.635593220338983","0.0104363288983012","-0.494781835550849","0.9984","0.992","0.848528137423857","0.00830753264889585","1.33898305084746",NA,"0",NA,"0.00118136864953219","0.685330321969984","0.450561208866305","1.5691925832142","0.246187193147394","0.103418679773049","0.227605298677643"
"Triepeolus nr. lestes","below",NA,"parasite",NA,2.15,2.0625,2,2.28125,2.4375,1.96875,"no","yes","0.568226875","0.211793284","1.524513787","1.008970151","0.455191867","2.10080004","0.78347812","0.312672862","1.883159868",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triepeolus sp. 1","below",NA,"parasite",NA,NA,NA,NA,NA,NA,NA,"yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triepeolus sp. A","below",NA,"parasite",NA,1.66666666666667,1.8125,1.5625,1.625,NA,NA,"no","yes","0.3970209","0.169317754","0.930945468","0.781247059","0.400476918","1.729285222","0.539961678","0.246288812","1.151225395",1,2,1,1,"1","0.00793650793650794","1","0.00425531914893617","-0.995744680851064","1","1","1","0.00425531914893617","1.83898305084746",NA,"0",NA,"0.000131805185026679","8196.04299273653","0","1","0.0184111563773112","0.0659056644030367","0.329170966823183"
"Triepeolus sp. D","below",NA,"parasite",NA,1.21875,1.21875,NA,NA,NA,NA,"no","yes","0.255517399","0.128592243","0.507722238","0.57047869","0.342148351","0.951183702","0.341703677","0.183673376","0.628713317",0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Triepeolus subnitens",NA,NA,"parasite",NA,2.4283334,2.533333,2.466667,2.266667,2.3125,2.5625,"no","yes","0.674468404","0.235714023","1.929913296","1.140216468","0.483930986","2.863385965","0.936081983","0.350461417","2.382670683",17,5,9,4,"4","0.0317460317460317","0.449152542372881","0.0792205718546165","-0.230194857036346","0.985333333333333","0.976","0.52394563758263","0.0227682666318666","1.32203389830508",NA,"0",NA,"0.00149983229196432","1.6490962335472","1.31972992151867","3.74241049621507","0.227487234317105","0.246646050221952","0.279566425138764"
"Triepeolus timberlakei","below",NA,"parasite",NA,1.6428188146,1.707317073,1.686747,1.566265,1.566265,1.6875,"yes","yes","0.389045764","0.167186301","0.905317036","0.770018223","0.397584748","1.580380416","0.528704726","0.242984531","1.119602848",5,0,5,0,"3","0.0238095238095238","0.584745762711864","0.00840640913683964","-0.330531196954387","0.988","0.984","0.595718054116207","0.00259333288550509","1.38983050847458",NA,"0",NA,"0.000586438041966585","3.16654189346081","1.05492016798614","2.87174588749259","0.328031964901285","0.189264320711887","0.138084636708339"
"Xeromelecta californica","below",NA,"parasite",NA,2.55433615433333,2.146341463,2.766667,2.75,NA,NA,"yes","yes","0.724260199","0.24643199","2.128590674","1.199655138","0.4964006","2.230735812","1.007929189","0.367477213","2.627380454",2,0,2,0,"2","0.0158730158730159","0.771186440677966","0.00297329324545339","-0.498513353377273","0.992","0.992","0.70427267446636","0.00148664662272669","1.55932203389831",NA,"0",NA,"0.000255735305530986","17872.483199054","0.693147180559945","2","0.118928235662802","0.131811328806073","0.188786528948362"
"Xylocopa tabaniformis orpifex","above","ex","solitary","polylectic",5.84,5.4,6.3,6,6.1,5.4,"yes","yes","2.320332398","0.509777768","10.56135198","2.753059711","0.752394928","8.952578211","3.376182534","0.797653429","12.98944585",16,1,5,1,"6","0.0476190476190476","0.347457627118644","0.796604610223536","-0.0338992316294107","0.992","0.96","0.554075807087803","0.270348171383178","1.63559322033898",NA,"0",NA,"0.00124981592352767","3.4868858071801","1.4402347497046","4.22168674039773","0.0245220933876528","0.278233069527403","0.699279687129926"
"Xylocopa varipuncta","above","ex","solitary","polylectic",6.945,5.6,6.6,6.65,7.4375,8.4375,"no","yes","2.961516401","0.593655932","14.77384275","3.27653976","0.820908575","9.456629951","4.349534352","0.938313387","18.15673403",11,0,3,0,"2","0.0158730158730159","0.644067796610169","0.173222912353347","-0.413388543823326","0.9992","0.992","0.912901106227868","0.0665662839575883","1.71186440677966",NA,"0",NA,"0.00111556903967612","0.715330569455624","0.304636097349238","1.35613141338627","0.0133187088686932","0.0893767418170515","0.591366852374779"
