Family,Genus,SubGenus,Species,SubSpecies,ReproStrat,Sociality,NestLoc,Excavate,Lecty,Wood,FireKill,Notes,Reference
Halictidae,Lasioglossum,Lasioglossum,sisymbrii,,free living,solitary,below,ex,polylectic,no,no,,
Halictidae,Sphecodes,,sp.,b,parasite,solitary,below,rent,NA,no,no,,
Halictidae,Sphecodes,,sp.,a,parasite,solitary,below,rent,NA,no,no,,
Megachilidae,Anthidiellum,Loyalanthidium,notatum,robertsoni,free living,solitary,above,rent,NA,no,no,,
Megachilidae,Anthidium,Anthidium,atrifrons,,free living,solitary,above,rent,polylectic,yes,yes,,
Megachilidae,Anthidium,Anthidium,banningense,,free living,solitary,below,ex,polylectic,no,yes,,
Megachilidae,Anthidium,Anthidium,maculosum,,free living,solitary,above,rent,polylectic,yes,yes,,
Megachilidae,Anthidium,Anthidium,mormonum,,free living,solitary,above,rent,polylectic,yes,tes,,
Megachilidae,Anthidium,Anthidium,placitum,,free living,solitary,below,ex,polylectic,no,yes,never recorded in trap nests,
Megachilidae,Ashmeadiella,Arogochila,timberlakei,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Ashmeadiella,Ashmeadiella,aridula,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Ashmeadiella,Ashmeadiella,bucconis,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Ashmeadiella,Ashmeadiella,cactorum,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Ashmeadiella,Ashmeadiella,californica,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Ashmeadiella,Ashmeadiella,cubiceps,cubiceps,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Atoposmia,Atoposmia,triodonta,shastensis,free living,solitary,above,rent,polylectic,no,no,under slabs of rocks,
Megachilidae,Atoposmia,Hexosmia,copelandica,albomarginata,free living,solitary,above,rent,polylectic,yes,yes,,
Megachilidae,Chelostoma,Chelostoma,minutum,,free living,solitary,above,rent,NA,yes,yes,,
Megachilidae,Chelostoma,Chelostoma,phaceliae,,free living,solitary,above,rent,oligolectic,yes,yes,,
Megachilidae,Coelioxys,Boreocoelioxys,moesta,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Coelioxys,Boreocoelioxys,rufitarsis,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Coelioxys,Coelioxys,sodalis,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Coelioxys,Cyrtocoelioxys,gilensis,aff.,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Coelioxys,Synocoelioxys,apacheorum,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Coelioxys,Xerocoelioxys,grindeliae,,parasite,solitary,above,rent,NA,yes,yes,,
Megachilidae,Dianthidium,Dianthidium,plenum,,free living,solitary,above,create,NA,no,yes,?,
Megachilidae,Dianthidium,Dianthidium,pudicum,,free living,solitary,above,create,NA,yes,yes,crotches of branches; on/under rocks,Gregoric and Stangy 1968; Clement and Russ 1974; Hicks 1927
Megachilidae,Dianthidium,Dianthidium,singulare,,free living,solitary,above,create,NA,no,yes,,Mitchner 1935; Timberlake 1943
Megachilidae,Dianthidium,Dianthidium,ulkei,,free living,solitary,above,rent,oligolectic,yes,yes,,
