"Site","Date","BloomStatus","FlowerNum","PlantFK"
"P33","6/12/14","full bloom",0,5
"P33","6/22/14","finishing bloom",0,5
"P33","7/2/14","finishing bloom",0,5
"P33","7/13/14","full bloom",2,5
"P43","6/12/14","not blooming",0,5
"P43","6/23/14","not blooming",0,5
"P43","7/2/14","not blooming",0,5
"P43","7/13/14","full bloom",2,5
"W04","6/30/13","not blooming",0,5
"W04","7/14/13","full bloom",2,5
"W04","7/20/13","finishing bloom",2,5
"W04","8/1/13","finishing bloom",2,5
"W04","6/14/14","not blooming",0,5
"W04","6/25/14","full bloom",2,5
"W04","7/4/14","full bloom",2,5
"W04","7/14/14","full bloom",4,5
"N134","7/8/13","full bloom",1,NA
"N134","7/11/13","full bloom",1,NA
"N134","7/22/13","not blooming",0,NA
"N134","7/25/13","not blooming",0,NA
"N134","6/17/14","beginning to bloom to bloom",3,NA
"N134","7/6/14","full bloom",2,NA
"N134","7/9/14","not blooming",0,NA
"N134","7/17/14","not blooming",0,NA
"N136","7/9/13","full bloom",1,NA
"N136","7/12/13","full bloom",1,NA
"N136","7/24/13","not blooming",0,NA
"N136","7/26/13","not blooming",0,NA
"N136","6/17/14","not blooming",0,NA
"N136","7/7/14","not blooming",0,NA
"N136","7/10/14","full bloom",1,NA
"N136","7/17/14","finishing bloom",1,NA
"L21","6/26/13","not blooming",0,NA
"L21","7/13/13","not blooming",0,NA
"L21","7/17/13","not blooming",0,NA
"L21","7/30/13","not blooming",0,NA
"L21","6/12/14","not blooming",0,NA
"L21","6/22/14","not blooming",0,NA
"L21","7/3/14","not blooming",0,NA
"L21","7/13/14","not blooming",0,NA
"P310","6/29/13","not blooming",0,NA
"P310","7/13/13","not blooming",0,NA
"P310","7/17/13","not blooming",0,NA
"P310","7/31/13","not blooming",0,NA
"P310","6/12/14","not blooming",0,NA
"P310","6/24/14","not blooming",0,NA
"P310","7/1/14","not blooming",0,NA
"P310","7/13/14","not blooming",0,NA
"N131","6/30/13","finishing bloom",1,NA
"N131","7/14/13","not blooming",0,NA
"N131","7/20/13","not blooming",0,NA
"N131","8/1/13","not blooming",0,NA
"N131","6/14/14","not blooming",0,NA
"N131","6/25/14","beginning to bloom to bloom",2,NA
"N131","7/4/14","not blooming",0,NA
"N131","7/14/14","not blooming",0,NA
"N133","7/8/13","finishing bloom",3,NA
"N133","7/11/13","not blooming",0,NA
"N133","7/23/13","not blooming",0,NA
"N133","7/25/13","not blooming",0,NA
"N133","6/18/14","not blooming",0,NA
"N133","7/7/14","not blooming",0,NA
"N133","7/10/14","not blooming",0,NA
"N133","7/18/14","not blooming",0,NA
"P24","6/27/13","not blooming",0,NA
"P24","7/13/13","not blooming",0,NA
"P24","7/19/13","not blooming",0,NA
"P24","7/29/13","not blooming",0,NA
"P24","6/12/14","not blooming",0,NA
"P24","6/23/14","not blooming",0,NA
"P24","7/2/14","not blooming",0,NA
"P24","7/13/14","not blooming",0,NA
"P43","6/28/13","not blooming",0,NA
"P43","7/13/13","not blooming",0,NA
"P43","7/17/13","not blooming",0,NA
"P43","7/30/13","not blooming",0,NA
"P43","6/13/14","not blooming",0,NA
"P43","6/24/14","not blooming",0,NA
"P43","7/3/14","not blooming",0,NA
"P43","7/13/14","not blooming",0,NA
"W04","6/30/13","not blooming",0,NA
"W04","7/14/13","not blooming",0,NA
"W04","7/20/13","not blooming",0,NA
"W04","8/1/13","not blooming",0,NA
"W04","6/14/14","not blooming",0,NA
"W04","6/25/14","not blooming",0,NA
"W04","7/4/14","not blooming",0,NA
"W04","7/14/14","not blooming",0,NA
"L21","6/26/13","full bloom",1,6
"L21","7/13/13","finishing bloom",1,6
"L21","7/17/13","finishing bloom",1,6
"L21","7/30/13","finishing bloom",1,6
"L21","6/12/14","full bloom",1,6
"L21","6/22/14","not blooming",0,6
"L21","7/3/14","not blooming",0,6
"L21","7/13/14","not blooming",0,6
"L24","6/27/13","full bloom",1,6
"L24","7/13/13","finishing bloom",1,6
"L24","7/18/13","finishing bloom",1,6
"L24","7/31/13","finishing bloom",1,6
"L24","6/13/14","not blooming",0,6
"L24","6/23/14","full bloom",1,6
"L24","7/2/14","finishing bloom",2,6
"L24","7/13/14","full bloom",2,6
"N131","6/30/13","not blooming",0,7
"N131","7/14/13","full bloom",2,7
"N131","7/20/13","full bloom",2,7
"N131","8/1/13","finishing bloom",2,7
"N131","6/14/14","not blooming",0,7
"N131","6/25/14","beginning to bloom to bloom",2,7
"N131","7/4/14","full bloom",2,7
"N131","7/14/14","finishing bloom",2,7
"L21","6/26/13","beginning to bloom",1,8
"L21","7/13/13","full bloom",3,8
"L21","7/17/13","full bloom",3,8
"L21","7/30/13","finishing bloom",3,8
"L21","6/12/14","not blooming",0,8
"L21","6/22/14","not blooming",0,8
"L21","7/3/14","not blooming",0,8
"L21","7/13/14","full bloom",2,8
"N131","6/30/13","not blooming",0,8
"N131","7/14/13","not blooming",0,8
"N131","7/20/13","not blooming",0,8
