"Site","Date","BloomStatus","FlowerNum","PlantFK"
"N137","6/19/14","not blooming",0,21
"N137","7/7/14","not blooming",0,21
"N137","7/10/14","not blooming",0,21
"N137","7/19/14","not blooming",0,21
"P33","6/27/13","not blooming",0,21
"P33","7/13/13","not blooming",0,21
"P33","7/18/13","full bloom",1,21
"P33","7/29/13","finishing bloom",1,21
"P33","6/12/14","not blooming",0,21
"P33","6/22/14","not blooming",0,21
"P33","7/2/14","not blooming",0,21
"P33","7/13/14","full bloom",1,21
"P37","6/28/13","not blooming",0,21
"P37","7/13/13","beginning to bloom",1,21
"P37","7/19/13","full bloom",1,21
"P37","7/30/13","finishing bloom",1,21
"P37","6/13/14","full bloom",3,21
"P37","6/24/14","full bloom",2,21
"P37","7/1/14","not blooming",0,21
"P37","7/13/14","not blooming",0,21
"W04","6/30/13","not blooming",0,21
"W04","7/14/13","beginning to bloom",1,21
"W04","7/20/13","full bloom",1,21
"W04","8/1/13","finishing bloom",1,21
"W04","6/14/14","not blooming",0,21
"W04","6/25/14","not blooming",0,21
"W04","7/4/14","not blooming",0,21
"W04","7/14/14","full bloom",2,21
"N136","7/9/13","full bloom",3,22
"N136","7/12/13","full bloom",3,22
"N136","7/24/13","full bloom",3,22
"N136","7/26/13","full bloom",3,22
"N136","6/17/14","not blooming",0,22
"N136","7/7/14","beginning to bloom to bloom",1,22
"N136","7/10/14","full bloom",3,22
"N136","7/17/14","not blooming",0,22
"N135","7/8/13","not blooming",0,23
"N135","7/11/13","not blooming",0,23
"N135","7/22/13","not blooming",0,23
"N135","7/25/13","beginning to bloom",1,23
"N135","6/18/14","not blooming",0,23
"N135","7/6/14","not blooming",0,23
"N135","7/9/14","not blooming",0,23
"N135","7/19/14","not blooming",0,23
"P33","6/27/13","not blooming",0,23
"P33","7/13/13","not blooming",0,23
"P33","7/18/13","not blooming",0,23
"P33","7/29/13","full bloom",3,23
"P33","6/12/14","not blooming",0,23
"P33","6/22/14","not blooming",0,23
"P33","7/2/14","not blooming",0,23
"P33","7/13/14","not blooming",0,23
"L21","6/26/13","beginning to bloom",2,24
"L21","7/13/13","full bloom",3,24
"L21","7/17/13","full bloom",2,24
"L21","7/30/13","finishing bloom",1,24
"L21","6/12/14","not blooming",0,24
"L21","6/22/14","not blooming",0,24
"L21","7/3/14","finishing bloom",1,24
"L21","7/13/14","full bloom",1,24
"L24","6/27/13","beginning to bloom",1,24
"L24","7/13/13","full bloom",2,24
"L24","7/18/13","full bloom",2,24
"L24","7/31/13","finishing bloom",2,24
"L24","6/13/14","not blooming",0,24
"L24","6/23/14","not blooming",0,24
"L24","7/2/14","not blooming",0,24
"L24","7/13/14","full bloom",2,24
"L33","6/29/13","full bloom",2,24
"L33","7/13/13","finishing bloom",2,24
"L33","7/19/13","finishing bloom",2,24
"L33","7/31/13","not blooming",0,24
"L33","6/13/14","not blooming",0,24
"L33","6/23/14","not blooming",0,24
"L33","7/3/14","not blooming",0,24
"L33","7/13/14","finishing bloom",2,24
"L35","6/27/13","beginning to bloom",1,24
"L35","7/13/13","full bloom",2,24
"L35","7/18/13","full bloom",2,24
"L35","7/29/13","full bloom",2,24
"L35","6/12/14","not blooming",0,24
"L35","6/22/14","not blooming",0,24
"L35","7/3/14","not blooming",0,24
"L35","7/13/14","not blooming",0,24
"N132","6/30/13","full bloom",2,24
"N132","7/14/13","finishing bloom",2,24
"N132","7/20/13","finishing bloom",2,24
"N132","8/1/13","not blooming",0,24
"N132","6/14/14","not blooming",0,24
"N132","6/25/14","not blooming",0,24
"N132","7/4/14","not blooming",0,24
"N132","7/14/14","beginning to bloom to bloom",1,24
"N133","6/18/14","not blooming",0,24
"N133","7/7/14","not blooming",0,24
"N133","7/10/14","beginning to bloom to bloom",2,24
"N133","7/18/14","finishing bloom",2,24
"N135","7/8/13","full bloom",2,24
"N135","7/11/13","full bloom",2,24
"N135","7/22/13","finishing bloom",2,24
"N135","7/25/13","finishing bloom",1,24
"N135","6/18/14","not blooming",0,24
"N135","7/6/14","full bloom",2,24
"N135","7/9/14","full bloom",2,24
"N135","7/19/14","full bloom",2,24
"N137","7/9/13","finishing bloom",3,24
"N137","7/12/13","finishing bloom",3,24
"N137","7/24/13","finishing bloom",2,24
"N137","7/26/13","finishing bloom",2,24
"N137","6/19/14","not blooming",0,24
"N137","7/7/14","full bloom",2,24
"N137","7/10/14","full bloom",2,24
"N137","7/19/14","finishing bloom",2,24
"N139","7/9/13","full bloom",2,24
"N139","7/12/13","full bloom",3,24
"N139","7/24/13","finishing bloom",2,24
"N139","7/26/13","finishing bloom",2,24
"N139","6/18/14","not blooming",0,24
"N139","7/6/14","finishing bloom",2,24
"N139","7/9/14","full bloom",2,24
"N139","7/18/14","full bloom",2,24
"P24","6/27/13","beginning to bloom",0,24
"P24","7/13/13","finishing bloom",2,24
"P24","7/19/13","finishing bloom",1,24
"P24","7/29/13","finishing bloom",1,24
"P24","6/12/14","not blooming",0,24
"P24","6/23/14","not blooming",0,24
"P24","7/2/14","full bloom",1,24
"P24","7/13/14","finishing bloom",2,24
"P310","6/29/13","beginning to bloom",2,24
"P310","7/13/13","full bloom",2,24
"P310","7/17/13","full bloom",3,24
"P310","7/31/13","finishing bloom",3,24
"P310","6/12/14","not blooming",0,24
"P310","6/24/14","not blooming",0,24
"P310","7/1/14","beginning to bloom to bloom",1,24
"P310","7/13/14","finishing bloom",2,24
"P33","6/27/13","full bloom",2,24
"P33","7/13/13","full bloom",2,24
"P33","7/18/13","full bloom",2,24
"P33","7/29/13","full bloom",4,24
"P33","6/12/14","not blooming",0,24
"P33","6/22/14","not blooming",0,24
"P33","7/2/14","not blooming",0,24
"P33","7/13/14","finishing bloom",2,24
"P43","6/28/13","full bloom",2,24
"P43","7/13/13","finishing bloom",2,24
"P43","7/17/13","finishing bloom",2,24
"P43","7/30/13","not blooming",0,24
"P43","6/13/14","not blooming",0,24
"P43","6/24/14","not blooming",0,24
"P43","7/3/14","not blooming",0,24
"P43","7/13/14","full bloom",1,24
"W04","6/30/13","full bloom",2,24
"W04","7/14/13","full bloom",2,24
"W04","7/20/13","finishing bloom",2,24
"W04","8/1/13","finishing bloom",2,24
"W04","6/14/14","not blooming",0,24
"W04","6/25/14","not blooming",0,24
"W04","7/4/14","not blooming",0,24
"W04","7/14/14","beginning to bloom to bloom",3,24
"L21","6/26/13","beginning to bloom",1,25
"L21","7/13/13","full bloom",5,25
"L21","7/17/13","full bloom",5,25
"L21","7/30/13","finishing bloom",5,25
"L21","6/12/14","not blooming",0,25
"L21","6/22/14","beginning to bloom to bloom",2,25
"L21","7/3/14","full bloom",4,25
"L21","7/13/14","full bloom",4,25
"N131","6/30/13","full bloom",3,25
"N131","7/14/13","full bloom",4,25
"N131","7/20/13","full bloom",3,25
"N131","8/1/13","finishing bloom",3,25
"N131","6/14/14","not blooming",0,25
"N131","6/25/14","full bloom",3,25
"N131","7/4/14","full bloom",4,25
"N131","7/14/14","full bloom",4,25
"N132","6/30/13","not blooming",0,25
"N132","7/14/13","not blooming",0,25
"N132","7/20/13","not blooming",0,25
"N132","8/1/13","full bloom",1,25
"N132","6/14/14","not blooming",0,25
"N132","6/25/14","not blooming",0,25
"N132","7/4/14","not blooming",0,25
"N132","7/14/14","not blooming",0,25
"P24","6/27/13","beginning to bloom",2,25
"P24","7/13/13","full bloom",2,25
"P24","7/19/13","finishing bloom",2,25
"P24","7/29/13","not blooming",0,25
"P24","6/12/14","not blooming",0,25
"P24","6/23/14","beginning to bloom to bloom",1,25
"P24","7/2/14","not blooming",0,25
"P24","7/13/14","full bloom",3,25
"P33","6/27/13","full bloom",1,25
"P33","7/13/13","full bloom",1,25
"P33","7/18/13","full bloom",1,25
"P33","7/29/13","full bloom",3,25
"P33","6/12/14","not blooming",0,25
"P33","6/22/14","beginning to bloom to bloom",2,25
"P33","7/2/14","full bloom",1,25
"P33","7/13/14","finishing bloom",1,25
"P43","7/3/14","full bloom",1,25
"P43","7/13/14","full bloom",1,25
"N132","6/30/13","beginning to bloom",1,26
"N132","7/14/13","beginning to bloom",1,26
"N132","7/20/13","full bloom",3,26
"N132","8/1/13","not blooming",0,26
"N132","6/14/14","not blooming",0,26
"N132","6/25/14","full bloom",1,26
"N132","7/4/14","full bloom",2,26
"N132","7/14/14","full bloom",2,26
"L33","6/29/13","not blooming",0,27
"L33","7/13/13","beginning to bloom",3,27
"L33","7/19/13","full bloom",3,27
"L33","7/31/13","finishing bloom",2,27
"L33","6/13/14","not blooming",0,27
"L33","6/23/14","not blooming",0,27
"L33","7/3/14","beginning to bloom to bloom",4,27
"L33","7/13/14","full bloom",4,27
"N132","6/30/13","not blooming",0,27
"N132","7/14/13","beginning to bloom",2,27
"N132","7/20/13","beginning to bloom",2,27
"N132","8/1/13","finishing bloom",1,27
"N132","6/14/14","not blooming",0,27
"N132","6/25/14","not blooming",0,27
"N132","7/4/14","beginning to bloom to bloom",2,27
"N132","7/14/14","beginning to bloom to bloom",1,27
"N133","7/8/13","not blooming",0,27
"N133","7/11/13","not blooming",0,27
"N133","7/23/13","beginning to bloom",1,27
"N133","7/25/13","beginning to bloom",2,27
"N133","6/18/14","not blooming",0,27
"N133","7/7/14","beginning to bloom to bloom",1,27
"N133","7/10/14","beginning to bloom to bloom",1,27
"N133","7/18/14","not blooming",0,27
"N135","7/8/13","beginning to bloom",1,27
"N135","7/11/13","full bloom",2,27
"N135","7/22/13","full bloom",3,27
"N135","7/25/13","finishing bloom",2,27
"N135","6/18/14","beginning to bloom to bloom",1,27
"N135","7/6/14","full bloom",5,27
"N135","7/9/14","full bloom",3,27
"N135","7/19/14","full bloom",2,27
"N139","7/9/13","beginning to bloom",1,27
"N139","7/12/13","beginning to bloom",3,27
"N139","7/24/13","full bloom",3,27
"N139","7/26/13","full bloom",3,27
"N139","6/18/14","not blooming",0,27
"N139","7/6/14","beginning to bloom to bloom",2,27
"N139","7/9/14","full bloom",3,27
"N139","7/18/14","full bloom",2,27
"P310","6/29/13","not blooming",0,27
"P310","7/13/13","full bloom",3,27
"P310","7/17/13","full bloom",2,27
"P310","7/31/13","full bloom",2,27
"P310","6/12/14","not blooming",0,27
"P310","6/24/14","not blooming",0,27
"P310","7/1/14","not blooming",0,27
"P310","7/13/14","not blooming",0,27
"P33","6/27/13","not blooming",0,27
"P33","7/13/13","not blooming",0,27
"P33","7/18/13","beginning to bloom",2,27
"P33","7/29/13","full bloom",3,27
"P33","6/12/14","not blooming",0,27
"P33","6/22/14","not blooming",0,27
"P33","7/2/14","not blooming",0,27
"P33","7/13/14","full bloom",1,27
"P43","6/28/13","not blooming",0,27
"P43","7/13/13","beginning to bloom",2,27
"P43","7/17/13","beginning to bloom",2,27
"P43","7/30/13","finishing bloom",2,27
"P43","6/13/14","not blooming",0,27
"P43","6/24/14","not blooming",0,27
"P43","7/3/14","not blooming",0,27
"P43","7/13/14","not blooming",0,27
"N135","7/8/13","not blooming",0,28
"N135","7/11/13","not blooming",0,28
"N135","7/22/13","not blooming",0,28
"N135","7/25/13","beginning to bloom",3,28
"N135","6/18/14","not blooming",0,28
"N135","7/6/14","not blooming",0,28
"N135","7/9/14","beginning to bloom to bloom",2,28
"N135","7/19/14","full bloom",3,28
"L33","6/13/14","full bloom",1,29
"L33","6/23/14","not blooming",0,29
"L33","7/3/14","not blooming",0,29
"L33","7/13/14","not blooming",0,29
"L21","6/12/14","not blooming",0,30
"L21","6/22/14","not blooming",0,30
"L21","7/3/14","finishing bloom",1,30
"L21","7/13/14","not blooming",0,30
"N131","6/14/14","not blooming",0,30
"N131","6/25/14","full bloom",2,30
"N131","7/4/14","full bloom",1,30
"N131","7/14/14","not blooming",0,30
"P37","6/13/14","full bloom",2,30
"P37","6/24/14","not blooming",0,30
"P37","7/1/14","not blooming",0,30
"P37","7/13/14","not blooming",0,30
"L21","6/26/13","full bloom",3,31
"L21","7/13/13","full bloom",3,31
"L21","7/17/13","full bloom",3,31
"L21","7/30/13","finishing bloom",3,31
"L21","6/12/14","not blooming",0,31
"L21","6/22/14","not blooming",0,31
"L21","7/3/14","not blooming",0,31
"L21","7/13/14","not blooming",0,31
"L24","6/27/13","full bloom",4,31
"L24","7/13/13","full bloom",4,31
"L24","7/18/13","full bloom",4,31
"L24","7/31/13","finishing bloom",3,31
"L24","6/13/14","not blooming",0,31
"L24","6/23/14","beginning to bloom to bloom",1,31
"L24","7/2/14","not blooming",0,31
"L24","7/13/14","full bloom",3,31
"L33","6/29/13","full bloom",3,31
"L33","7/13/13","full bloom",3,31
"L33","7/19/13","full bloom",3,31
"L33","7/31/13","full bloom",2,31
"L33","6/13/14","not blooming",0,31
"L33","6/23/14","not blooming",0,31
"L33","7/3/14","full bloom",2,31
"L33","7/13/14","finishing bloom",2,31
"L35","6/27/13","full bloom",2,31
"L35","7/13/13","full bloom",2,31
"L35","7/18/13","full bloom",2,31
"L35","7/29/13","full bloom",2,31
"L35","6/12/14","not blooming",0,31
"L35","6/22/14","not blooming",0,31
"L35","7/3/14","full bloom",2,31
"L35","7/13/14","full bloom",3,31
"N131","6/30/13","full bloom",3,31
"N131","7/14/13","full bloom",3,31
"N131","7/20/13","full bloom",3,31
"N131","8/1/13","full bloom",3,31
"N131","6/14/14","not blooming",0,31
"N131","6/25/14","beginning to bloom to bloom",1,31
"N131","7/4/14","full bloom",2,31
"N131","7/14/14","full bloom",2,31
"N132","6/30/13","full bloom",1,31
"N132","7/14/13","full bloom",1,31
"N132","7/20/13","full bloom",1,31
"N132","8/1/13","finishing bloom",1,31
"N132","6/14/14","not blooming",0,31
"N132","6/25/14","not blooming",0,31
"N132","7/4/14","full bloom",3,31
"N132","7/14/14","full bloom",2,31
"N133","7/8/13","full bloom",4,31
"N133","7/11/13","full bloom",4,31
"N133","7/23/13","full bloom",4,31
"N133","7/25/13","full bloom",4,31
"N133","6/18/14","not blooming",0,31
"N133","7/7/14","full bloom",3,31
"N133","7/10/14","full bloom",3,31
"N133","7/18/14","full bloom",3,31
"N134","7/8/13","full bloom",2,31
"N134","7/11/13","full bloom",2,31
"N134","7/22/13","full bloom",2,31
"N134","7/25/13","full bloom",2,31
"N134","6/17/14","full bloom",3,31
"N134","7/6/14","full bloom",1,31
"N134","7/9/14","full bloom",3,31
"N134","7/17/14","full bloom",2,31
"N135","7/8/13","full bloom",3,31
"N135","7/11/13","full bloom",3,31
"N135","7/22/13","full bloom",3,31
"N135","7/25/13","finishing bloom",2,31
"N135","6/18/14","full bloom",2,31
"N135","7/6/14","full bloom",4,31
"N135","7/9/14","full bloom",2,31
"N135","7/19/14","full bloom",2,31
"N137","7/9/13","full bloom",4,31
"N137","7/12/13","full bloom",4,31
"N137","7/24/13","full bloom",4,31
"N137","7/26/13","full bloom",4,31
"N137","6/19/14","beginning to bloom to bloom",1,31
"N137","7/7/14","not blooming",0,31
"N137","7/10/14","full bloom",2,31
"N137","7/19/14","full bloom",2,31
"P24","6/27/13","full bloom",3,31
"P24","7/13/13","full bloom",3,31
"P24","7/19/13","full bloom",3,31
"P24","7/29/13","full bloom",3,31
"P24","6/12/14","not blooming",0,31
"P24","6/23/14","not blooming",0,31
"P24","7/2/14","full bloom",2,31
"P24","7/13/14","beginning to bloom to bloom",2,31
"P33","6/27/13","full bloom",3,31
"P33","7/13/13","full bloom",3,31
"P33","7/18/13","full bloom",3,31
"P33","7/29/13","full bloom",4,31
"P33","6/12/14","not blooming",0,31
"P33","6/22/14","not blooming",0,31
"P33","7/2/14","not blooming",0,31
"P33","7/13/14","not blooming",0,31
"P37","6/28/13","full bloom",2,31
"P37","7/13/13","full bloom",2,31
"P37","7/19/13","full bloom",2,31
"P37","7/30/13","full bloom",2,31
"P37","6/13/14","full bloom",2,31
"P37","6/24/14","full bloom",2,31
"P37","7/1/14","beginning to bloom to bloom",1,31
"P37","7/13/14","beginning to bloom to bloom",1,31
"P43","6/28/13","full bloom",4,31
"P43","7/13/13","full bloom",4,31
"P43","7/17/13","full bloom",4,31
"P43","7/30/13","finishing bloom",2,31
"P43","6/13/14","not blooming",0,31
"P43","6/24/14","not blooming",0,31
"P43","7/3/14","full bloom",2,31
"P43","7/13/14","full bloom",2,31
"W04","6/30/13","full bloom",2,31
"W04","7/14/13","full bloom",2,31
"W04","7/20/13","full bloom",2,31
"W04","8/1/13","full bloom",4,31
"W04","6/14/14","not blooming",0,31
"W04","6/25/14","not blooming",0,31
"W04","7/4/14","full bloom",1,31
"W04","7/14/14","full bloom",3,31
"L24","6/27/13","full bloom",2,32
"L24","7/13/13","full bloom",2,32
"L24","7/18/13","full bloom",2,32
"L24","7/31/13","finishing bloom",2,32
"L24","6/13/14","not blooming",0,32
"L24","6/23/14","not blooming",0,32
"L24","7/2/14","not blooming",0,32
"L24","7/13/14","full bloom",3,32
"L33","6/29/13","full bloom",1,32
"L33","7/13/13","full bloom",1,32
"L33","7/19/13","full bloom",1,32
"L33","7/31/13","full bloom",1,32
"L33","6/13/14","full bloom",1,32
"L33","6/23/14","full bloom",2,32
"L33","7/3/14","full bloom",2,32
"L33","7/13/14","full bloom",2,32
"N131","6/30/13","full bloom",3,32
"N131","7/14/13","full bloom",4,32
"N131","7/20/13","full bloom",3,32
"N131","8/1/13","full bloom",3,32
"N131","6/14/14","not blooming",0,32
"N131","6/25/14","beginning to bloom to bloom",2,32
"N131","7/4/14","full bloom",2,32
"N131","7/14/14","full bloom",3,32
"N132","6/30/13","full bloom",4,32
"N132","7/14/13","full bloom",4,32
"N132","7/20/13","full bloom",4,32
"N132","8/1/13","finishing bloom",3,32
"N132","6/14/14","not blooming",0,32
"N132","6/25/14","full bloom",2,32
"N132","7/4/14","full bloom",2,32
"N132","7/14/14","full bloom",4,32
"N133","7/8/13","full bloom",4,32
"N133","7/11/13","full bloom",4,32
"N133","7/23/13","full bloom",4,32
"N133","7/25/13","full bloom",4,32
"N133","6/18/14","not blooming",0,32
"N133","7/7/14","full bloom",2,32
"N133","7/10/14","full bloom",2,32
"N133","7/18/14","full bloom",3,32
"N134","7/8/13","full bloom",3,32
"N134","7/11/13","full bloom",3,32
"N134","7/22/13","full bloom",3,32
"N134","7/25/13","full bloom",3,32
"N134","6/17/14","full bloom",3,32
"N134","7/6/14","full bloom",2,32
"N134","7/9/14","full bloom",3,32
"N134","7/17/14","full bloom",2,32
"N135","7/8/13","full bloom",1,32
"N135","7/11/13","full bloom",1,32
"N135","7/22/13","full bloom",2,32
"N135","7/25/13","full bloom",2,32
"N135","6/18/14","not blooming",0,32
"N135","7/6/14","full bloom",4,32
"N135","7/9/14","not blooming",0,32
"N135","7/19/14","not blooming",0,32
"N137","7/9/13","full bloom",5,32
"N137","7/12/13","full bloom",5,32
"N137","7/24/13","full bloom",5,32
"N137","7/26/13","full bloom",5,32
"N137","6/19/14","not blooming",0,32
"N137","7/7/14","full bloom",2,32
"N137","7/10/14","full bloom",2,32
"N137","7/19/14","full bloom",2,32
"N139","7/9/13","full bloom",3,32
"N139","7/12/13","full bloom",3,32
"N139","7/24/13","full bloom",3,32
"N139","7/26/13","full bloom",3,32
"N139","6/18/14","full bloom",3,32
"N139","7/6/14","full bloom",4,32
"N139","7/9/14","full bloom",3,32
"N139","7/18/14","full bloom",2,32
"P310","6/29/13","full bloom",3,32
"P310","7/13/13","full bloom",3,32
"P310","7/17/13","full bloom",3,32
"P310","7/31/13","full bloom",3,32
"P310","6/12/14","not blooming",0,32
"P310","6/24/14","not blooming",0,32
"P310","7/1/14","beginning to bloom to bloom",2,32
"P310","7/13/14","finishing bloom",2,32
"P33","6/27/13","full bloom",2,32
"P33","7/13/13","full bloom",2,32
"P33","7/18/13","full bloom",2,32
"P33","7/29/13","full bloom",3,32
"P33","6/12/14","not blooming",0,32
"P33","6/22/14","not blooming",0,32
"P33","7/2/14","full bloom",1,32
"P33","7/13/14","full bloom",2,32
"P37","6/13/14","not blooming",0,32
"P37","6/24/14","not blooming",0,32
"P37","7/1/14","beginning to bloom to bloom",1,32
"P37","7/13/14","not blooming",0,32
"W04","6/30/13","full bloom",1,32
"W04","7/14/13","full bloom",1,32
"W04","7/20/13","full bloom",1,32
"W04","8/1/13","full bloom",3,32
"W04","6/14/14","not blooming",0,32
"W04","6/25/14","not blooming",0,32
"W04","7/4/14","full bloom",1,32
"W04","7/14/14","full bloom",3,32
"L35","6/12/14","full bloom",1,33
"L35","6/22/14","full bloom",1,33
"L35","7/3/14","full bloom",1,33
"L35","7/13/14","not blooming",0,33
"N136","7/9/13","full bloom",3,33
"N136","7/12/13","full bloom",3,33
"N136","7/24/13","full bloom",3,33
"N136","7/26/13","finishing bloom",2,33
"N136","6/17/14","full bloom",3,33
"N136","7/7/14","full bloom",3,33
"N136","7/10/14","full bloom",4,33
"N136","7/17/14","full bloom",4,33
"N137","7/9/13","full bloom",2,34
"N137","7/12/13","full bloom",2,34
"N137","7/24/13","finishing bloom",1,34
"N137","7/26/13","finishing bloom",1,34
"N137","6/19/14","full bloom",2,34
"N137","7/7/14","not blooming",0,34
"N137","7/10/14","not blooming",0,34
"N137","7/19/14","not blooming",0,34
"P310","6/12/14","not blooming",0,34
"P310","6/24/14","not blooming",0,34
"P310","7/1/14","not blooming",0,34
"P310","7/13/14","not blooming",0,34
"P33","6/27/13","full bloom",2,34
"P33","7/13/13","finishing bloom",1,34
"P33","7/18/13","finishing bloom",1,34
"P33","7/29/13","finishing bloom",1,34
"P33","6/12/14","",1,34
"P33","6/22/14","full bloom",2,34
"P33","7/2/14","finishing bloom",2,34
"P33","7/13/14","not blooming",0,34
"P310","6/12/14","full bloom",2,35
"P310","6/24/14","not blooming",0,35
"P310","7/1/14","not blooming",0,35
"P310","7/13/14","not blooming",0,35
"N136","7/9/13","full bloom",2,36
"N136","7/12/13","full bloom",2,36
"N136","7/24/13","finishing bloom",2,36
"N136","7/26/13","finishing bloom",1,36
"N136","6/17/14","not blooming",0,36
"N136","7/7/14","beginning to bloom to bloom",1,36
"N136","7/10/14","not blooming",0,36
"N136","7/17/14","beginning to bloom to bloom",1,36
"L21","6/26/13","not blooming",0,37
"L21","7/13/13","not blooming",0,37
"L21","7/17/13","not blooming",0,37
"L21","7/30/13","not blooming",0,37
"L21","6/12/14","not blooming",0,37
"L21","6/22/14","not blooming",0,37
"L21","7/3/14","not blooming",0,37
"L21","7/13/14","not blooming",0,37
"L24","6/27/13","full bloom",1,37
"L24","7/13/13","full bloom",1,37
"L24","7/18/13","full bloom",1,37
"L24","7/31/13","finishing bloom",1,37
"L24","6/13/14","not blooming",0,37
"L24","6/23/14","not blooming",0,37
"L24","7/2/14","not blooming",0,37
"L24","7/13/14","not blooming",0,37
"N134","7/8/13","full bloom",2,37
"N134","7/11/13","full bloom",2,37
"N134","7/22/13","finishing bloom",2,37
"N134","7/25/13","finishing bloom",2,37
"N134","6/17/14","not blooming",3,37
"N134","7/6/14","beginning to bloom to bloom",1,37
"N134","7/9/14","finishing bloom",2,37
"N134","7/17/14","full bloom",2,37
"N136","7/9/13","full bloom",2,37
"N136","7/12/13","full bloom",2,37
"N136","7/24/13","finishing bloom",2,37
"N136","7/26/13","finishing bloom",2,37
"N136","6/17/14","not blooming",0,37
"N136","7/7/14","beginning to bloom to bloom",1,37
"N136","7/10/14","full bloom",2,37
"N136","7/17/14","full bloom",1,37
"P24","6/12/14","not blooming",0,37
"P24","6/23/14","not blooming",0,37
"P24","7/2/14","not blooming",0,37
"P24","7/13/14","finishing bloom",2,37
"P37","6/28/13","not blooming",0,37
"P37","7/13/13","not blooming",0,37
"P37","7/19/13","not blooming",0,37
"P37","7/30/13","not blooming",0,37
"P37","6/13/14","not blooming",0,37
"P37","6/24/14","not blooming",0,37
"P37","7/1/14","not blooming",0,37
"P37","7/13/14","not blooming",0,37
"P43","6/28/13","not blooming",0,37
"P43","7/13/13","not blooming",0,37
"P43","7/17/13","not blooming",0,37
"P43","7/30/13","not blooming",0,37
"P43","6/13/14","not blooming",0,37
"P43","6/24/14","not blooming",0,37
"P43","7/3/14","not blooming",0,37
"P43","7/13/14","not blooming",0,37
"W04","6/30/13","not blooming",0,37
"W04","7/14/13","not blooming",0,37
"W04","7/20/13","not blooming",0,37
"W04","8/1/13","not blooming",0,37
"W04","6/14/14","not blooming",0,37
"W04","6/25/14","not blooming",0,37
"W04","7/4/14","not blooming",0,37
"W04","7/14/14","not blooming",0,37
"L35","6/12/14","beginning to bloom to bloom",1,NA
"L35","6/22/14","not blooming",0,NA
"L35","7/3/14","not blooming",0,NA
"L35","7/13/14","not blooming",0,NA
"L24","6/13/14","full bloom",2,38
"L24","6/23/14","full bloom",2,38
"L24","7/2/14","not blooming",0,38
"L24","7/13/14","not blooming",0,38
"L35","6/27/13","full bloom",2,38
"L35","7/13/13","full bloom",2,38
"L35","7/18/13","full bloom",2,38
"L35","7/29/13","finishing bloom",1,38
"L35","6/12/14","not blooming",0,38
"L35","6/22/14","not blooming",0,38
"L35","7/3/14","not blooming",0,38
"L35","7/13/14","full bloom",2,38
"P37","6/28/13","full bloom",5,38
"P37","7/13/13","finishing bloom",4,38
"P37","7/19/13","finishing bloom",3,38
"P37","7/30/13","finishing bloom",3,38
"P37","6/13/14","full bloom",3,38
"P37","6/24/14","full bloom",3,38
"P37","7/1/14","full bloom",4,38
"P37","7/13/14","full bloom",4,38
"L21","6/26/13","full bloom",1,39
"L21","7/13/13","full bloom",1,39
"L21","7/17/13","full bloom",1,39
"L21","7/30/13","finishing bloom",1,39
"L21","6/12/14","not blooming",0,39
"L21","6/22/14","not blooming",0,39
"L21","7/3/14","not blooming",0,39
"L21","7/13/14","not blooming",0,39
"L24","6/27/13","not blooming",0,39
"L24","7/13/13","full bloom",1,39
"L24","7/18/13","full bloom",1,39
"L24","7/31/13","not blooming",0,39
"L24","6/13/14","not blooming",0,39
"L24","6/23/14","full bloom",1,39
"L24","7/2/14","not blooming",0,39
"L24","7/13/14","not blooming",0,39
"N135","7/8/13","full bloom",2,40
"N135","7/11/13","full bloom",2,40
"N135","7/22/13","full bloom",2,40
"N135","7/25/13","finishing bloom",2,40
"N135","6/18/14","not blooming",0,40
"N135","7/6/14","beginning to bloom to bloom",1,40
"N135","7/9/14","finishing bloom",1,40
"N135","7/19/14","finishing bloom",1,40
"N139","7/9/13","full bloom",3,NA
"N139","7/12/13","full bloom",3,NA
"N139","7/24/13","full bloom",2,NA
"N139","7/26/13","full bloom",2,NA
"N139","6/18/14","full bloom",2,NA
"N139","7/6/14","not blooming",0,NA
"N139","7/9/14","not blooming",0,NA
"N139","7/18/14","not blooming",0,NA
"P310","6/29/13","full bloom",1,41
"P310","7/13/13","full bloom",1,41
"P310","7/17/13","finishing bloom",1,41
"P310","7/31/13","finishing bloom",1,41
"P310","6/12/14","not blooming",0,41
"P310","6/24/14","full bloom",2,41
"P310","7/1/14","beginning to bloom to bloom",2,41
"P310","7/13/14","not blooming",0,41
"P33","6/12/14","not blooming",0,41
"P33","6/22/14","not blooming",0,41
"P33","7/2/14","full bloom",2,41
"P33","7/13/14","full bloom",1,41
"P37","6/13/14","not blooming",0,41
"P37","6/24/14","not blooming",0,41
"P37","7/1/14","full bloom",2,41
"P37","7/13/14","full bloom",2,41
"P43","6/13/14","not blooming",0,41
"P43","6/24/14","not blooming",0,41
"P43","7/3/14","full bloom",2,41
"P43","7/13/14","not blooming",0,41
"W04","6/30/13","not blooming",0,41
"W04","7/14/13","full bloom",2,41
"W04","7/20/13","full bloom",2,41
"W04","8/1/13","not blooming",0,41
"W04","6/14/14","not blooming",0,41
"W04","6/25/14","full bloom",2,41
"W04","7/4/14","full bloom",3,41
"W04","7/14/14","full bloom",2,41
"N136","7/9/13","full bloom",2,42
"N136","7/12/13","full bloom",2,42
"N136","7/24/13","not blooming",0,42
"N136","7/26/13","not blooming",0,42
"N136","6/17/14","not blooming",0,42
