Genus,Subgenus,Species,Subspecies,Sex,GenSp
Andrena,(Andrena),vicinoides,,f,Andrena vicinoides 
Andrena,(Andrena),washingtoni,,f,Andrena washingtoni 
Andrena,(Cnemidandrena),columbiana,,f,Andrena columbiana 
Andrena,(Cnemidandrena),scutellinitens,,f,Andrena scutellinitens 
Andrena,(Cnemidandrena),surda,,f,Andrena surda 
Andrena,(Dasyandrena),cristata,,f,Andrena cristata 
Andrena,(Dasyandrena),obscuripostica,,f,Andrena obscuripostica 
Andrena,(Derandrena),arctostaphylae,,f,Andrena arctostaphylae 
Andrena,(Derandrena),vandykei,,f,Andrena vandykei 
Andrena,(Diandrena),chalybaea,,f,Andrena chalybaea 
Andrena,(Diandrena),chalybioides,,f,Andrena chalybioides 
Andrena,(Diandrena),chlorosoma,,f,Andrena chlorosoma 
Andrena,(Diandrena),lewisorum,,f,Andrena lewisorum 
Andrena,(Diandrena),nothocalaidis,,f,Andrena nothocalaidis 
Andrena,(Diandrena),subapasta,,f,Andrena subapasta 
Andrena,(Erandrena),principalis,,f,Andrena principalis 
Andrena,(Euandrena),astragali,,f,Andrena astragali 
Andrena,(Euandrena),auricoma,,f,Andrena auricoma 
Andrena,(Euandrena),caerulea,,f,Andrena caerulea 
Andrena,(Euandrena),chlorura,,f,Andrena chlorura 
Andrena,(Euandrena),hamulata,,f,Andrena hamulata 
Andrena,(Euandrena),nigrihirta,,f,Andrena nigrihirta 
Andrena,(Euandrena),nigrocaerulea,,f,Andrena nigrocaerulea 
Andrena,(Euandrena),ribblei,,f,Andrena ribblei 
Andrena,(Geissandrena),trevoris,,f,Andrena trevoris 
Andrena,(Hesperandrena),pulverea,,f,Andrena pulverea 
Andrena,(Holandrena),cressonii,infasciata,f,Andrena cressonii infasciata
Andrena,(Larandrena),miserabilis,,f,Andrena miserabilis 
Andrena,(Leucandrena),barbilabris,,f,Andrena barbilabris 
Andrena,(Melandrena),cerasifolii,,f,Andrena cerasifolii 
Andrena,(Melandrena),nivalis,,f,Andrena nivalis 
Andrena,(Melandrena),pertristis,carliniformis,f,Andrena pertristis carliniformis
Andrena,(Melandrena),transnigra,,f,Andrena transnigra 
Andrena,(Micrandrena),chlorogaster,,f,Andrena chlorogaster 
Andrena,(Micrandrena),melanochroa,,f,Andrena melanochroa 
Andrena,(Onagrandrena),omninigra,omninigra,f,Andrena omninigra omninigra
Andrena,(Parandrena),concinnula,,f,Andrena concinnula 
Andrena,(Plastandrena),prunorum,prunorum,f,Andrena prunorum prunorum
Andrena,(Psammandrena),congrua,,f,Andrena congrua 
Andrena,(Scaphandrena),chapmanae,,f,Andrena chapmanae 
Andrena,(Scaphandrena),cruciferarum,,f,Andrena cruciferarum 
Andrena,(Scaphandrena),lomatii,,f,Andrena lomatii 
Andrena,(Scaphandrena),merriami,,f,Andrena merriami 
Andrena,(Simandrena),angustitarsata,,f,Andrena angustitarsata 
Andrena,(Simandrena),pallidifovea,,f,Andrena pallidifovea 
Andrena,(Thysandrena),candida,,f,Andrena candida 
Andrena,(Thysandrena),knuthiana,,f,Andrena knuthiana 
Andrena,(Thysandrena),medionitens,,f,Andrena medionitens 
Andrena,(Thysandrena),vierecki,,f,Andrena vierecki 
Andrena,(Trachandrena),cleodora,cleodora,f,Andrena cleodora cleodora
Andrena,(Trachandrena),forbesii,,f,Andrena forbesii 
Andrena,(Trachandrena),miranda,,f,Andrena miranda 
Andrena,(Trachandrena),quintiliformis,,f,Andrena quintiliformis 
Andrena,(Trachandrena),striatifrons,,f,Andrena striatifrons 
Andrena,(Tylandrena),subaustralis,,f,Andrena subaustralis 
Anthidiellum,(Loyalanthidium),ehrhorni,,f,Anthidiellum ehrhorni 
Anthidiellum,(Loyalanthidium),notatum,robertsoni,f,Anthidiellum notatum robertsoni
Anthidiellum,(Loyalanthidium),robertsoni,,f,Anthidiellum robertsoni 
Anthidium,(Anthidium),atrifrons,,f,Anthidium atrifrons 
Anthidium,(Anthidium),banningense,,f,Anthidium banningense 
Anthidium,(Anthidium),clypeodentatum,,f,Anthidium clypeodentatum 
Anthidium,(Anthidium),maculosum,,f,Anthidium maculosum 
Anthidium,(Anthidium),mormonum,,f,Anthidium mormonum 
Anthidium,(Anthidium),placitum,,f,Anthidium placitum 
Anthidium,(Anthidium),tenuiflorae,,f,Anthidium tenuiflorae 
Anthidium,(Anthidium),utahense,,f,Anthidium utahense 
Anthidium,(Callanthidium),illustre,,f,Anthidium illustre 
Anthophora,(Anthophoroides),phaceliae,,f,Anthophora phaceliae 
Anthophora,(Clisodon),terminalis,,f,Anthophora terminalis 
Anthophora,(Heliophila),exigua,,f,Anthophora exigua 
Anthophora,(Melea),bomboides,,f,Anthophora bomboides 
Anthophora,(Mystacanthophora),urbana,,f,Anthophora urbana 
Anthophora,(Paramegilla),centriformis,,f,Anthophora centriformis 
Apis,,mellifera,,f,Apis mellifera 
Ashmeadiella,(Arogochila),australis,,f,Ashmeadiella australis 
Ashmeadiella,(Arogochila),eurynorhyncha,,f,Ashmeadiella eurynorhyncha 
Ashmeadiella,(Arogochila),salviae,,f,Ashmeadiella salviae 
Ashmeadiella,(Arogochila),stenognatha,,f,Ashmeadiella stenognatha 
Ashmeadiella,(Arogochila),timberlakei,,f,Ashmeadiella timberlakei 
Ashmeadiella,(Ashmeadiella),aridula,,f,Ashmeadiella aridula 
Ashmeadiella,(Ashmeadiella),bucconis,bucconis,f,Ashmeadiella bucconis bucconis
Ashmeadiella,(Ashmeadiella),cactorum,,f,Ashmeadiella cactorum 
Ashmeadiella,(Ashmeadiella),californica,,f,Ashmeadiella californica 
Ashmeadiella,(Ashmeadiella),cubiceps,cubiceps,f,Ashmeadiella cubiceps cubiceps
Ashmeadiella,(Ashmeadiella),difugita,emarginatula,f,Ashmeadiella difugita emarginatula
Ashmeadiella,(Ashmeadiella),foveata,,f,Ashmeadiella foveata 
Ashmeadiella,(Ashmeadiella),gillettei,,f,Ashmeadiella gillettei 
Ashmeadiella,(Ashmeadiella),meliloti,,f,Ashmeadiella meliloti 
Atoposmia,(Atoposmia),abjecta,alta,f,Atoposmia abjecta alta
Atoposmia,(Atoposmia),elongata,,f,Atoposmia elongata 
Atoposmia,(Atoposmia),hebitis,,f,Atoposmia hebitis 
Atoposmia,(Atoposmia),oregona,,f,Atoposmia oregona 
Atoposmia,(Atoposmia),triodonta,shastensis,f,Atoposmia triodonta shastensis
Atoposmia,(Hexosmia),copelandica,,f,Atoposmia copelandica 
Bombus,(Alpinobombus),balteatus,,f,Bombus balteatus 
Bombus,(Crotchiibombus),crotchii,,f,Bombus crotchii 
Bombus,(Fervidobombus),californicus,,f,Bombus californicus 
Bombus,(Psithyrus),fernaldae,,f,Bombus fernaldae 
Bombus,(Psithyrus),insularis,,f,Bombus insularis 
Bombus,(Pyrobombus),bifarius,,f,Bombus bifarius 
Bombus,(Pyrobombus),flavifrons,,f,Bombus flavifrons 
Bombus,(Pyrobombus),melanopygus,,f,Bombus melanopygus 
Bombus,(Pyrobombus),mixtus,,f,Bombus mixtus 
Bombus,(Pyrobombus),sylvicola,,f,Bombus sylvicola 
Bombus,(Pyrobombus),vandykei,,f,Bombus vandykei 
Bombus,(Pyrobombus),vosnesenskii,,f,Bombus vosnesenskii 
Bombus,(Separatobombus),morrisoni,,f,Bombus morrisoni 
Calliopsis,(Micronomadopsis),fracta,,f,Calliopsis fracta 
Calliopsis,(Micronomadopsis),trifolii,,f,Calliopsis trifolii 
Calliopsis,(Nomadopsis),anthidia,anthidia,f,Calliopsis anthidia anthidia
Calliopsis,(Nomadopsis),cincta,cincta,f,Calliopsis cincta cincta
Calliopsis,(Nomadopsis),edwardsii,,f,Calliopsis edwardsii 
Calliopsis,(Nomadopsis),linsleyi,,f,Calliopsis linsleyi 
Calliopsis,(Nomadopsis),micheneri,,f,Calliopsis micheneri 
Calliopsis,(Nomadopsis),zonalis,sierrae,f,Calliopsis zonalis sierrae
Ceratina,(Ceratina),arizonensis,,f,Ceratina arizonensis 
Ceratina,(Zadontomerus),acantha,,f,Ceratina acantha 
Ceratina,(Zadontomerus),nanula,,f,Ceratina nanula 
Ceratina,(Zadontomerus),pacifica,,f,Ceratina pacifica 
Ceratina,(Zadontomerus),punctigena,,f,Ceratina punctigena 
Ceratina,(Zadontomerus),sequoiae,,f,Ceratina sequoiae 
Ceratina,(Zadontomerus),tejonensis,,f,Ceratina tejonensis 
Ceratina,(Zadontomerus),timberlakei,,f,Ceratina timberlakei 
Chelostoma,(Chelostoma),cockerelli,,f,Chelostoma cockerelli 
Chelostoma,(Chelostoma),incisulum,,f,Chelostoma incisulum 
Chelostoma,(Chelostoma),marginatum,incisuloides,f,Chelostoma marginatum incisuloides
Chelostoma,(Chelostoma),minutum,,f,Chelostoma minutum 
Chelostoma,(Chelostoma),phaceliae,,f,Chelostoma phaceliae 
Coelioxys,(Boreocoelioxys),moesta,,f,Coelioxys moesta 
Coelioxys,(Boreocoelioxys),novomexicana,,f,Coelioxys novomexicana 
Coelioxys,(Boreocoelioxys),porterae,,f,Coelioxys porterae 
Coelioxys,(Coelioxys),aff. sodalis,,f,Coelioxys aff. sodalis 
Coelioxys,(Coelioxys),serricaudata,,f,Coelioxys serricaudata 
Coelioxys,(Coelioxys),sodalis,,f,Coelioxys sodalis 
Coelioxys,(Cyrtocoelioxys),aff. gilensis,,f,Coelioxys aff. gilensis 
Coelioxys,(Synocoelioxys),apacheorum,,f,Coelioxys apacheorum 
Colletes,,gypsicolens,,f,Colletes gypsicolens 
Colletes,consors,consors,pascoensis,f,Colletes consors pascoensis
Colletes,consors,nigrifrons,,f,Colletes nigrifrons 
Colletes,consors,paniscus,mertensiae,f,Colletes paniscus mertensiae
Colletes,hyalinus,lutzi,monticola,f,Colletes lutzi monticola
Colletes,simulans,fulgidus,fulgidus,f,Colletes fulgidus fulgidus
Colletes,simulans,kincaidii,,f,Colletes kincaidii 
Colletes,simulans,slevini,,f,Colletes slevini 
Diadasia,,angusticeps,,f,Diadasia angusticeps 
Diadasia,,bituberculata,,f,Diadasia bituberculata 
Diadasia,,diminuta,,f,Diadasia diminuta 
Diadasia,,laticauda,,f,Diadasia laticauda 
Diadasia,,nigrifrons,,f,Diadasia nigrifrons 
Dianthidium,(Dianthidium),dubium,,f,Dianthidium dubium 
Dianthidium,(Dianthidium),dubium,dubium,f,Dianthidium dubium dubium
Dianthidium,(Dianthidium),heterulkei,heterulkei,f,Dianthidium heterulkei heterulkei
Dianthidium,(Dianthidium),plenum,,f,Dianthidium plenum 
Dianthidium,(Dianthidium),pudicum,,f,Dianthidium pudicum 
Dianthidium,(Dianthidium),pudicum,pudicum,f,Dianthidium pudicum pudicum
Dianthidium,(Dianthidium),singulare,,f,Dianthidium singulare 
Dianthidium,(Dianthidium),ulkei,,f,Dianthidium ulkei 
Dioxys,,aurifusca,,f,Dioxys aurifusca 
Dioxys,,pacifica,pacifica,f,Dioxys pacifica pacifica
Dioxys,,pomonae,pomonae,f,Dioxys pomonae pomonae
Dioxys,,producta,cismontanica,f,Dioxys producta cismontanica
Dufourea,,bernardina,,f,Dufourea bernardina 
Dufourea,,calochorti,,f,Dufourea calochorti 
Dufourea,,cuprea,,f,Dufourea cuprea 
Dufourea,,femorata,,f,Dufourea femorata 
Dufourea,,fimbriata,,f,Dufourea fimbriata 
Dufourea,,holocyanea,,f,Dufourea holocyanea 
Dufourea,,nemophilae,,f,Dufourea nemophilae 
Dufourea,,neospinifera,,f,Dufourea neospinifera 
Dufourea,,pectinipes,,f,Dufourea pectinipes 
Dufourea,,spilura,,f,Dufourea spilura 
Dufourea,,subdavidsoni,,f,Dufourea subdavidsoni 
Dufourea,,trochantera,,f,Dufourea trochantera 
Dufourea,,versatilis,rubriventris,f,Dufourea versatilis rubriventris
Epeolus,,americanus,,f,Epeolus americanus 
Epeolus,,compactus,,f,Epeolus compactus 
Epeolus,,minimus,,f,Epeolus minimus 
Eucera,(Synhalonia),acerba,,f,Eucera acerba 
Eucera,(Synhalonia),actuosa,,f,Eucera actuosa 
Eucera,(Synhalonia),edwardsii,,f,Eucera edwardsii 
Eucera,(Synhalonia),frater,albopilosa,f,Eucera frater albopilosa
Eucera,(Synhalonia),lunata,,f,Eucera lunata 
Eucera,(Synhalonia),venusta,carinata,f,Eucera venusta carinata
Habropoda,,dammersi,,f,Habropoda dammersi 
Habropoda,,depressa,,f,Habropoda depressa 
Habropoda,,tristissima,,f,Habropoda tristissima 
Halictus,(Halictus),farinosus,,f,Halictus farinosus 
Halictus,(Halictus),ligatus,,f,Halictus ligatus 
Halictus,(Halictus),rubicundus,,f,Halictus rubicundus 
Halictus,(Seladonia),tripartitus,,f,Halictus tripartitus 
Heriades,(Neotrypetes),cressoni,,f,Heriades cressoni 
Hesperapis,(Panurgomia),regularis,,f,Hesperapis regularis 
Hoplitis,(Acrosmia),laevibullata,,f,Hoplitis laevibullata 
Hoplitis,(Alcidamea),colei,,f,Hoplitis colei 
Hoplitis,(Alcidamea),grinnelli,,f,Hoplitis grinnelli 
Hoplitis,(Alcidamea),producta,bernardina,f,Hoplitis producta bernardina
Hoplitis,(Alcidamea),producta,gracilis,f,Hoplitis producta gracilis
Hoplitis,(Alcidamea),sambuci,,f,Hoplitis sambuci 
Hoplitis,(Alcidamea),uvulalis,,f,Hoplitis uvulalis 
Hoplitis,(Cyrtosmia),hypocrita,,f,Hoplitis hypocrita 
Hoplitis,(Hoplitina),linsdalei,,f,Hoplitis linsdalei 
Hoplitis,(Monumetha),albifrons,maura,f,Hoplitis albifrons maura
Hoplitis,(Monumetha),fulgida,platyura,f,Hoplitis fulgida platyura
Hoplitis,(Proteriades),nanula,sparsa,f,Hoplitis nanula sparsa
Hoplitis,(Proteriades),seminigra,,f,Hoplitis seminigra 
Hylaeus,(Cephalylaeus),basalis,,f,Hylaeus basalis 
Hylaeus,(Cephalylaeus),nunenmacheri,,f,Hylaeus nunenmacheri 
Hylaeus,(Hylaeus),annulatus,,f,Hylaeus annulatus 
Hylaeus,(Hylaeus),granulatus,,f,Hylaeus granulatus 
Hylaeus,(Hylaeus),mesillae,cressoni,f,Hylaeus mesillae cressoni
Hylaeus,(Hylaeus),rudbeckiae,,f,Hylaeus rudbeckiae 
Hylaeus,(Hylaeus),verticalis,,f,Hylaeus verticalis 
Hylaeus,(Paraprosopis),calvus,,f,Hylaeus calvus 
Hylaeus,(Paraprosopis),coloradensis,,f,Hylaeus coloradensis 
Hylaeus,(Paraprosopis),nevadensis,,f,Hylaeus nevadensis 
Hylaeus,(Paraprosopis),personatellus,,f,Hylaeus personatellus 
Hylaeus,(Paraprosopis),polifolii,,f,Hylaeus polifolii 
Hylaeus,(Paraprosopis),timberlakei,,f,Hylaeus timberlakei 
Hylaeus,(Paraprosopis),wootoni,,f,Hylaeus wootoni 
Hylaeus,(Prosopis),episcopalis,,f,Hylaeus episcopalis 
Hylaeus,(Prosopis),episcopalis,episcopalis,f,Hylaeus episcopalis episcopalis
Hylaeus,(Prosopis),episcopalis,giffardiellus,f,Hylaeus episcopalis giffardiellus
Hylaeus,(Prosopis),modestus,citrinifrons,f,Hylaeus modestus citrinifrons
Lasioglossum,(Dialictus),albohirtum,,f,Lasioglossum albohirtum 
Lasioglossum,(Dialictus),albuquerquense,,f,Lasioglossum albuquerquense 
Lasioglossum,(Dialictus),brunneiventre,,f,Lasioglossum brunneiventre 
Lasioglossum,(Dialictus),cyaneonotum,,f,Lasioglossum cyaneonotum 
Lasioglossum,(Dialictus),glabriventre,,f,Lasioglossum glabriventre 
Lasioglossum,(Dialictus),hyalinum,,f,Lasioglossum hyalinum 
Lasioglossum,(Dialictus),incompletum,,f,Lasioglossum incompletum 
Lasioglossum,(Dialictus),knereri,,f,Lasioglossum knereri 
Lasioglossum,(Dialictus),nevadense,,f,Lasioglossum nevadense 
Lasioglossum,(Dialictus),nevadense shiney,,f,Lasioglossum nevadense shiney 
Lasioglossum,(Dialictus),obscurior,,f,Lasioglossum obscurior 
Lasioglossum,(Dialictus),petrellum,,f,Lasioglossum petrellum 
Lasioglossum,(Dialictus),pilosum,pilosum,f,Lasioglossum pilosum pilosum
Lasioglossum,(Dialictus),punctatoventre,,f,Lasioglossum punctatoventre 
Lasioglossum,(Dialictus),ruidosense,,f,Lasioglossum ruidosense 
Lasioglossum,(Dialictus),semicaeruleum,,f,Lasioglossum semicaeruleum 
Lasioglossum,(Dialictus),tegulare,,f,Lasioglossum tegulare 
Lasioglossum,(Dialictus),tuolumnense,,f,Lasioglossum tuolumnense 
Lasioglossum,(Dialictus),veganum,,f,Lasioglossum veganum 
Lasioglossum,(Evylaeus),allonotum,,f,Lasioglossum allonotum 
Lasioglossum,(Evylaeus),inconditus,,f,Lasioglossum inconditus 
Lasioglossum,(Evylaeus),ovaliceps,,f,Lasioglossum ovaliceps 
Lasioglossum,(Lasioglossum),anhypops,,f,Lasioglossum anhypops 
Lasioglossum,(Lasioglossum),egregium,,f,Lasioglossum egregium 
Lasioglossum,(Lasioglossum),mellipes,,f,Lasioglossum mellipes 
Lasioglossum,(Lasioglossum),olympiae,,f,Lasioglossum olympiae 
Lasioglossum,(Lasioglossum),sisymbrii,,f,Lasioglossum sisymbrii 
Lasioglossum,(Lasioglossum),timberlakei,,f,Lasioglossum timberlakei 
Lasioglossum,(Lasioglossum),titusi,,f,Lasioglossum titusi 
Lasioglossum,(Lasioglossum),trizonatum,,f,Lasioglossum trizonatum 
Megachile,(Argyropile),parallela,,f,Megachile parallela 
Megachile,(Chelostomoides),angelarum,,f,Megachile angelarum 
Megachile,(Chelostomoides),texensis,,f,Megachile texensis 
Megachile,(Eutricharaea),apicalis,,f,Megachile apicalis 
Megachile,(Eutricharaea),melanogaster,,f,Megachile melanogaster 
Megachile,(Leptorachis),angularis,,f,Megachile angularis 
Megachile,(Litomegachile),brevis,onobrychidis,f,Megachile brevis onobrychidis
Megachile,(Litomegachile),gentilis,,f,Megachile gentilis 
Megachile,(Litomegachile),texana,,f,Megachile texana 
Megachile,(Megachile),montivaga,,f,Megachile montivaga 
Megachile,(Megachile),relativa,,f,Megachile relativa 
Megachile,(Megachiloides),gravita,,f,Megachile gravita 
Megachile,(Megachiloides),pascoensis,,f,Megachile pascoensis 
Megachile,(Megachiloides),pseudonigra,,f,Megachile pseudonigra 
Megachile,(Megachiloides),subnigra,,f,Megachile subnigra 
Megachile,(Megachiloides),subnigra,angelica,f,Megachile subnigra angelica
Megachile,(Megachiloides),wheeleri,,f,Megachile wheeleri 
Megachile,(Sayapis),fidelis,,f,Megachile fidelis 
Megachile,(Sayapis),frugalis,pseudofrugalis,f,Megachile frugalis pseudofrugalis
Megachile,(Sayapis),inimica,jacumbensis,f,Megachile inimica jacumbensis
Megachile,(Sayapis),inimica,sayi,f,Megachile inimica sayi
Megachile,(Sayapis),policaris,,f,Megachile policaris 
Megachile,(Sayapis),pugnata,pomonae,f,Megachile pugnata pomonae
Megachile,(Xanthosarus),frigida,,f,Megachile frigida 
Megachile,(Xanthosarus),gemula,cressonii,f,Megachile gemula cressonii
Megachile,(Xanthosarus),melanophaea,,f,Megachile melanophaea 
Megachile,(Xanthosarus),perihirta,,f,Megachile perihirta 
Melecta,,edwardsi,,f,Melecta edwardsi 
Melecta,(Melecta),pacifica,,f,Melecta pacifica 
Melecta,(Melecta),thoracica,,f,Melecta thoracica 
Melissodes,(Callimelissodes),lupina,,f,Melissodes lupina 
Melissodes,(Eumelissodes),bicolorata,,f,Melissodes bicolorata 
Melissodes,(Eumelissodes),microsticta,,f,Melissodes microsticta 
Melissodes,(Eumelissodes),pallidisignata,,f,Melissodes pallidisignata 
Melissodes,(Melissodes),communis,alopex,f,Melissodes communis alopex
Micralictoides,,grossus,,f,Micralictoides grossus 
Nomada,(Centrias),crotchii,nigrior,f,Nomada crotchii nigrior
Nomada,(Gnathias),rhodalis,,f,Nomada rhodalis 
Nomada,(Holonomada),edwardsii,,f,Nomada edwardsii 
Nomada,(Nomadita),verecunda,,f,Nomada verecunda 
Oreopasites,,vanduzeei,,f,Oreopasites vanduzeei 
Osmia,,claremontensis,,f,Osmia claremontensis 
Osmia,(Acanthosmioides),giffardi,,f,Osmia giffardi 
Osmia,(Acanthosmioides),giliarum,,f,Osmia giliarum 
Osmia,(Acanthosmioides),integra,,f,Osmia integra 
Osmia,(Acanthosmioides),nifoata,,f,Osmia nifoata 
Osmia,(Acanthosmioides),nigrifrons,,f,Osmia nigrifrons 
Osmia,(Acanthosmioides),obliqua,,f,Osmia obliqua 
Osmia,(Acanthosmioides),physariae,,f,Osmia physariae 
Osmia,(Cephalosmia),californica,,f,Osmia californica 
Osmia,(Cephalosmia),grinnelli,,f,Osmia grinnelli 
Osmia,(Cephalosmia),marginipennis,,f,Osmia marginipennis 
Osmia,(Cephalosmia),montana,quadriceps,f,Osmia montana quadriceps
Osmia,(Cephalosmia),subaustralis,,f,Osmia subaustralis 
Osmia,(Euthosmia),glauca,,f,Osmia glauca 
Osmia,(Helicosmia),coloradensis,,f,Osmia coloradensis 
Osmia,(Helicosmia),texana,,f,Osmia texana 
Osmia,(Melanosmia),aglaia,,f,Osmia aglaia 
Osmia,(Melanosmia),albolateralis,,f,Osmia albolateralis 
Osmia,(Melanosmia),atrocyanea,,f,Osmia atrocyanea 
Osmia,(Melanosmia),austromaritima,,f,Osmia austromaritima 
Osmia,(Melanosmia),bakeri,,f,Osmia bakeri 
Osmia,(Melanosmia),brevis,,f,Osmia brevis 
Osmia,(Melanosmia),bruneri,,f,Osmia bruneri 
Osmia,(Melanosmia),cahuilla,,f,Osmia cahuilla 
Osmia,(Melanosmia),calla,,f,Osmia calla 
Osmia,(Melanosmia),callaformis,,f,Osmia callaformis 
Osmia,(Melanosmia),cara,,f,Osmia cara 
Osmia,(Melanosmia),cobaltina,,f,Osmia cobaltina 
Osmia,(Melanosmia),cyanella,,f,Osmia cyanella 
Osmia,(Melanosmia),cyanopoda,,f,Osmia cyanopoda 
Osmia,(Melanosmia),densa,,f,Osmia densa 
Osmia,(Melanosmia),ednae,,f,Osmia ednae 
Osmia,(Melanosmia),exigua,,f,Osmia exigua 
Osmia,(Melanosmia),gabrielis,,f,Osmia gabrielis 
Osmia,(Melanosmia),gaudiosa,,f,Osmia gaudiosa 
Osmia,(Melanosmia),grindeliae,,f,Osmia grindeliae 
Osmia,(Melanosmia),hemera,,f,Osmia hemera 
Osmia,(Melanosmia),hesperos,,f,Osmia hesperos 
Osmia,(Melanosmia),inermis,,f,Osmia inermis 
Osmia,(Melanosmia),inurbana,,f,Osmia inurbana 
Osmia,(Melanosmia),juxta,,f,Osmia juxta 
Osmia,(Melanosmia),kincaidii,,f,Osmia kincaidii 
Osmia,(Melanosmia),laeta,,f,Osmia laeta 
Osmia,(Melanosmia),malina,,f,Osmia malina 
Osmia,(Melanosmia),nanula,,f,Osmia nanula 
Osmia,(Melanosmia),paradisica,,f,Osmia paradisica 
Osmia,(Melanosmia),pentstemonis,,f,Osmia pentstemonis 
Osmia,(Melanosmia),pikei,,f,Osmia pikei 
Osmia,(Melanosmia),pulsatillae,,f,Osmia pulsatillae 
Osmia,(Melanosmia),pusilla,,f,Osmia pusilla 
Osmia,(Melanosmia),regulina,,f,Osmia regulina 
Osmia,(Melanosmia),sculleni,,f,Osmia sculleni 
Osmia,(Melanosmia),trevoris,,f,Osmia trevoris 
Osmia,(Melanosmia),tristella,,f,Osmia tristella 
Osmia,(Melanosmia),visenda,,f,Osmia visenda 
Osmia,(Mystacosmia),nemoris,,f,Osmia nemoris 
Osmia,(Osmia),lignaria,propinqua,f,Osmia lignaria propinqua
Osmia,(Osmia),ribifloris,biedermannii,f,Osmia ribifloris biedermannii
Osmia,(Trichinosmia),latisulcata,,f,Osmia latisulcata 
Panurginus,,nigrellus,,f,Panurginus nigrellus 
Panurginus,,occidentalis,,f,Panurginus occidentalis 
Panurginus,,quadratus,,f,Panurginus quadratus 
Perdita,(Hesperoperdita),trisignata,ornata,f,Perdita trisignata ornata
Perdita,(Perdita),hirticeps,hirticeps,f,Perdita hirticeps hirticeps
Perdita,(Perdita),oregonensis,expleta,f,Perdita oregonensis expleta
Perdita,(Perdita),rivalis,,f,Perdita rivalis 
Perdita,(Perdita),yosemitensis,,f,Perdita yosemitensis 
Perdita,(Pygoperdita),nevadensis,culbertsoni,f,Perdita nevadensis culbertsoni
Perdita,(Pygoperdita),quadrisignata,,f,Perdita quadrisignata 
Perdita,(Pygoperdita),tularensis,,f,Perdita tularensis 
Perdita,(Pygoperdita),vandykei,,f,Perdita vandykei 
Protosmia,(Chelostomopsis),rubifloris,,f,Protosmia rubifloris 
Stelis,(Dolichostelis),laticincta,,f,Stelis laticincta 
Stelis,(Stelis),albosignata,,f,Stelis albosignata 
Stelis,(Stelis),anasazi,,f,Stelis anasazi 
Stelis,(Stelis),calliphorina,,f,Stelis calliphorina 
Stelis,(Stelis),carnifex,,f,Stelis carnifex 
Stelis,(Stelis),cockerelli,,f,Stelis cockerelli 
Stelis,(Stelis),holocyanea,,f,Stelis holocyanea 
Stelis,(Stelis),incisa,,f,Stelis incisa 
Stelis,(Stelis),interrupta,,f,Stelis interrupta 
Stelis,(Stelis),linsleyi,,f,Stelis linsleyi 
Stelis,(Stelis),montana,,f,Stelis montana 
Stelis,(Stelis),monticola,,f,Stelis monticola 
Stelis,(Stelis),occidentalis,,f,Stelis occidentalis 
Stelis,(Stelis),pavonina,,f,Stelis pavonina 
Stelis,(Stelis),semirubra,,f,Stelis semirubra 
Stelis,(Stelis),subcaerulea,,f,Stelis subcaerulea 
Stelis,(Stelis),subemarginata,,f,Stelis subemarginata 
Triepeolus,(Triepeolus),subalpinus,,f,Triepeolus subalpinus 
Triepeolus,(Triepeolus),vandykei,,f,Triepeolus vandykei 
Xeromelecta,(Melectomorpha),californica,,f,Xeromelecta californica 
Xylocopa,(Notoxylocopa),tabaniformis,orpifex,f,Xylocopa tabaniformis orpifex
Xylocopa,(Xylocopoides),californica,californica,f,Xylocopa californica californica
