Genus,Subgenus,Species,Subspecies,Sex,GenSp
Ashmeadiella,(Ashmeadiella),difugita,emarginatula,m,Ashmeadiella difugita emarginatula
Ashmeadiella,(Ashmeadiella),foveata,,m,Ashmeadiella foveata 
Ashmeadiella,(Ashmeadiella),gillettei,,m,Ashmeadiella gillettei 
Ashmeadiella,(Ashmeadiella),meliloti,,m,Ashmeadiella meliloti 
Atoposmia,(Atoposmia),abjecta,alta,m,Atoposmia abjecta alta
Atoposmia,(Atoposmia),elongata,,m,Atoposmia elongata 
Atoposmia,(Atoposmia),hebitis,,m,Atoposmia hebitis 
Atoposmia,(Atoposmia),oregona,,m,Atoposmia oregona 
Atoposmia,(Atoposmia),triodonta,shastensis,m,Atoposmia triodonta shastensis
Atoposmia,(Hexosmia),copelandica,,m,Atoposmia copelandica 
Bombus,(Alpinobombus),balteatus,,m,Bombus balteatus 
Bombus,(Crotchiibombus),crotchii,,m,Bombus crotchii 
Bombus,(Fervidobombus),californicus,,m,Bombus californicus 
Bombus,(Psithyrus),fernaldae,,m,Bombus fernaldae 
Bombus,(Psithyrus),insularis,,m,Bombus insularis 
Bombus,(Pyrobombus),bifarius,,m,Bombus bifarius 
Bombus,(Pyrobombus),flavifrons,,m,Bombus flavifrons 
Bombus,(Pyrobombus),melanopygus,,m,Bombus melanopygus 
Bombus,(Pyrobombus),mixtus,,m,Bombus mixtus 
Bombus,(Pyrobombus),sylvicola,,m,Bombus sylvicola 
Bombus,(Pyrobombus),vandykei,,m,Bombus vandykei 
Bombus,(Pyrobombus),vosnesenskii,,m,Bombus vosnesenskii 
Bombus,(Separatobombus),morrisoni,,m,Bombus morrisoni 
Calliopsis,(Micronomadopsis),fracta,,m,Calliopsis fracta 
Calliopsis,(Micronomadopsis),trifolii,,m,Calliopsis trifolii 
Calliopsis,(Nomadopsis),anthidia,anthidia,m,Calliopsis anthidia anthidia
Calliopsis,(Nomadopsis),cincta,cincta,m,Calliopsis cincta cincta
Calliopsis,(Nomadopsis),edwardsii,,m,Calliopsis edwardsii 
Calliopsis,(Nomadopsis),linsleyi,,m,Calliopsis linsleyi 
Calliopsis,(Nomadopsis),micheneri,,m,Calliopsis micheneri 
Calliopsis,(Nomadopsis),zonalis,sierrae,m,Calliopsis zonalis sierrae
Ceratina,(Ceratina),arizonensis,,m,Ceratina arizonensis 
Ceratina,(Zadontomerus),acantha,,m,Ceratina acantha 
Ceratina,(Zadontomerus),nanula,,m,Ceratina nanula 
Ceratina,(Zadontomerus),pacifica,,m,Ceratina pacifica 
Ceratina,(Zadontomerus),punctigena,,m,Ceratina punctigena 
Ceratina,(Zadontomerus),sequoiae,,m,Ceratina sequoiae 
Ceratina,(Zadontomerus),tejonensis,,m,Ceratina tejonensis 
Ceratina,(Zadontomerus),timberlakei,,m,Ceratina timberlakei 
Chelostoma,(Chelostoma),cockerelli,,m,Chelostoma cockerelli 
Chelostoma,(Chelostoma),incisulum,,m,Chelostoma incisulum 
Chelostoma,(Chelostoma),marginatum,incisuloides,m,Chelostoma marginatum incisuloides
Chelostoma,(Chelostoma),minutum,,m,Chelostoma minutum 
Chelostoma,(Chelostoma),phaceliae,,m,Chelostoma phaceliae 
Coelioxys,(Boreocoelioxys),moesta,,m,Coelioxys moesta 
Coelioxys,(Boreocoelioxys),novomexicana,,m,Coelioxys novomexicana 
Coelioxys,(Boreocoelioxys),porterae,,m,Coelioxys porterae 
Coelioxys,(Coelioxys),aff. sodalis,,m,Coelioxys aff. sodalis 
Coelioxys,(Coelioxys),serricaudata,,m,Coelioxys serricaudata 
Coelioxys,(Coelioxys),sodalis,,m,Coelioxys sodalis 
Coelioxys,(Cyrtocoelioxys),aff. gilensis,,m,Coelioxys aff. gilensis 
Coelioxys,(Synocoelioxys),apacheorum,,m,Coelioxys apacheorum 
Colletes,,gypsicolens,,m,Colletes gypsicolens 
Colletes,consors,consors,pascoensis,m,Colletes consors pascoensis
Colletes,consors,nigrifrons,,m,Colletes nigrifrons 
Colletes,consors,paniscus,mertensiae,m,Colletes paniscus mertensiae
Colletes,hyalinus,lutzi,monticola,m,Colletes lutzi monticola
Colletes,simulans,fulgidus,fulgidus,m,Colletes fulgidus fulgidus
Colletes,simulans,kincaidii,,m,Colletes kincaidii 
Colletes,simulans,slevini,,m,Colletes slevini 
Diadasia,,angusticeps,,m,Diadasia angusticeps 
Diadasia,,bituberculata,,m,Diadasia bituberculata 
Diadasia,,diminuta,,m,Diadasia diminuta 
Diadasia,,laticauda,,m,Diadasia laticauda 
Diadasia,,nigrifrons,,m,Diadasia nigrifrons 
Dianthidium,(Dianthidium),dubium,,m,Dianthidium dubium 
Dianthidium,(Dianthidium),dubium,dubium,m,Dianthidium dubium dubium
Dianthidium,(Dianthidium),heterulkei,heterulkei,m,Dianthidium heterulkei heterulkei
Dianthidium,(Dianthidium),plenum,,m,Dianthidium plenum 
Dianthidium,(Dianthidium),pudicum,,m,Dianthidium pudicum 
Dianthidium,(Dianthidium),pudicum,pudicum,m,Dianthidium pudicum pudicum
Dianthidium,(Dianthidium),singulare,,m,Dianthidium singulare 
Dianthidium,(Dianthidium),ulkei,,m,Dianthidium ulkei 
