Park,Site,Year,Shannon,Evenness,Simpson,invSimpson,Richness,Richness_SAS
SEQI,P3-1,2014,0.885574152,0.638806718,0.446280992,1.805970149,4,20
SEQI,P3-2,2002,1.564370103,0.873091578,0.75432526,4.070422535,6,16
SEQI,P3-2,2014,1.561914069,0.710857727,0.706938776,3.412256267,9,18
SEQI,P3-3,2002,0.661563238,0.954434003,0.46875,1.882352941,2,14
SEQI,P3-3,2014,0.953271015,0.687639683,0.506666667,2.027027027,4,14
SEQI,P3-4,2002,1.210557844,0.873232899,0.666666667,3,4,16
SEQI,P3-4,2014,0.562335145,0.811278124,0.375,1.6,2,13
SEQI,P3-5,2002,0.80141506,0.497947174,0.402118335,1.672571778,5,15
SEQI,P3-5,2014,0.80081773,0.728935711,0.452605603,1.826836383,3,12
SEQI,W1-1,2002,0.778965234,0.483998313,0.362880886,1.569565217,5,14
SEQI,W1-2,2002,1.030221148,0.640112389,0.541015625,2.178723404,5,10
SEQI,W1-2,2014,1.447987114,0.899684979,0.742382271,3.88172043,5,14
SEQI,W1-5,2002,0,0,0,1,1,10
SEQI,W2-1,2002,1.240684292,0.894964538,0.67768595,3.102564103,4,19
SEQI,W2-1,2014,1.506948493,0.841043968,0.750821828,4.013192612,6,20
SEQI,W2-2,2002,1.451801504,0.746078387,0.710715312,3.456802383,7,21
SEQI,W2-2,2014,1.315535685,0.817388279,0.70363369,3.374202693,5,25
SEQI,W2-3,2002,0,0,0,1,1,6
SEQI,W2-3,2014,0.800341069,0.728501836,0.521579431,2.090211132,3,5
SEQI,W2-4,2002,0,0,0,1,1,13
SEQI,W2-4,2014,0.647446639,0.934068055,0.455,1.834862385,2,14
SEQI,W2-5,2002,0,0,0,1,1,8
SEQI,W2-5,2014,0.325082973,0.468995594,0.18,1.219512195,2,10
SEQI,W3-1,2002,1.015063083,0.923950236,0.607421875,2.547263682,3,15
SEQI,W3-1,2014,1.439434312,0.894370824,0.750565867,4.00907441,5,16
SEQI,W3-2,2002,0,0,0,1,1,11
SEQI,W3-2,2014,1.442808298,0.896467199,0.738292011,3.821052632,5,14
SEQI,W3-3,2002,0.434944202,0.313745922,0.186666667,1.229508197,4,20
SEQI,W3-3,2014,1.083290994,0.986053956,0.656111111,2.907915994,3,24
SEQI,W3-4,2002,1.078767029,0.602071342,0.551085796,2.227597145,6,13
SEQI,W3-4,2014,1.624350676,0.83475112,0.773391022,4.412887828,7,12
SEQI,W3-5,2002,0.729023932,0.452968037,0.326153846,1.484018265,5,11
SEQI,W3-5,2014,0.642950623,0.585238878,0.350156087,1.538831065,3,9
SEQI,W4-1,2002,1.348855748,0.838091198,0.699432892,3.327044025,5,12
SEQI,W4-1,2014,1.259476836,0.702927406,0.636961286,2.754527163,6,14
SEQI,W4-2,2002,0.304636097,0.439496987,0.165289256,1.198019802,2,13
SEQI,W4-2,2014,1.109212485,0.800127675,0.635102041,2.74049217,4,11
SEQI,W4-3,2002,0.636514168,0.918295834,0.444444444,1.8,2,12
SEQI,W4-3,2014,0,0,0,1,1,9
SEQI,W4-4,2002,0,0,0,1,1,12
SEQI,W4-4,2014,0.471393487,0.680077046,0.2952,1.418842225,2,11
