GenusSpeciesSex,d
Xylocopa californica m,0.331605578
Osmia tristella f,0.331708245
Hoplitis hypocrita m,0.331986791
Megachile fidelis m,0.332677212
Osmia hemera m,0.332872177
Dianthidium pudicum f,0.333957503
Andrena birtwelli f,0.333985278
Ceratina sequoiae f,0.334075719
Lasioglossum egregium m,0.334748858
Hylaeus nunenmacheri f,0.335242594
Osmia gabrielis m,0.335773849
Hylaeus episcopalis m,0.336117741
Halictus tripartitus f,0.336376059
Bombus vandykei m,0.336401203
Dianthidium ulkei m,0.336707305
Anthidium mormonum f,0.336802668
Anthidium mormonum m,0.336865691
Anthophora terminalis f,0.338082439
Hylaeus rudbeckiae m,0.339253822
Andrena auricoma f,0.339254994
Eucera actuosa f,0.340145994
Lasioglossum albohirtum f,0.340145994
Colletes slevini f,0.340543813
Hylaeus wootoni f,0.341130355
Hylaeus wootoni m,0.343104645
Bombus vandykei f,0.343185642
Osmia nifoata f,0.343937243
Andrena ceanothifloris f,0.344184461
Osmia cyanella m,0.344289654
Xeromelecta californica m,0.344863937
Anthidiellum ehrhorni m,0.345708468
Coelioxys sodalis f,0.345819374
Coelioxys apacheorum m,0.346136771
Xylocopa tabaniformis f,0.347297325
Hylaeus basalis m,0.349507898
Megachile texana m,0.350574945
Osmia bruneri m,0.350842007
Bombus melanopygus m,0.35125086
Bombus flavifrons m,0.351359401
Osmia densa f,0.353755626
Osmia coloradensis m,0.353987468
Perdita vandykei m,0.355580002
Micralictoides grossus m,0.355698829
Dianthidium ulkei f,0.35639827
Anthophora terminalis m,0.35704361
Ceratina punctigena f,0.357131397
Hylaeus basalis f,0.358062194
Hoplitis producta f,0.358263372
Osmia albolateralis f,0.358789523
Andrena principalis f,0.359546715
Bombus mixtus m,0.359959929
Megachile perihirta m,0.36071399
Osmia laeta f,0.361395728
Osmia cyanopoda f,0.361579133
Andrena monoensis f,0.364190266
Melissodes communis f,0.365402772
Megachile montivaga f,0.365449931
Megachile brevis m,0.365889387
Bombus californicus f,0.365981794
Hylaeus nunenmacheri m,0.367156082
Hoplitis grinnelli f,0.367210157
Anthidiellum robertsoni f,0.36802512
Lasioglossum timberlakei f,0.368757746
Osmia malina f,0.369102406
Hylaeus modestus f,0.370819751
Stelis calliphorina f,0.371226928
Osmia montana m,0.371518822
Xylocopa tabaniformis m,0.371886486
Habropoda depressa f,0.372434868
Lasioglossum anhypops m,0.372678879
Megachile wheeleri m,0.373202102
Anthidiellum ehrhorni f,0.373232159
Coelioxys sodalis m,0.374039912
Anthidium utahense m,0.374942623
Andrena striatifrons f,0.375486929
Andrena arctostaphylae m,0.375582474
Hoplitis producta m,0.377861187
Andrena nigrocaerulea f,0.378695981
Osmia physariae m,0.378897071
Megachile wheeleri f,0.379207313
Chelostoma minutum m,0.379683678
Hylaeus nevadensis m,0.380398534
Anthidium utahense f,0.380576315
Lasioglossum brunneiventre f,0.38087347
Andrena palpalis m,0.381259535
Stelis incisa f,0.381259535
Ashmeadiella difugita f,0.381988181
Calliopsis fracta f,0.382242611
Halictus ligatus m,0.384033193
Hoplitis albifrons f,0.385299213
Atoposmia oregona m,0.386944856
Andrena pertristis f,0.387097249
Habropoda depressa m,0.387256212
Osmia exigua m,0.387778329
Hylaeus coloradensis m,0.389775219
Protosmia rubifloris m,0.390133196
Stelis occidentalis f,0.390905596
Bombus bifarius m,0.39123916
Bombus insularis m,0.392024791
Ceratina acantha f,0.392496907
Megachile gentilis f,0.392601918
Oreopasites vanduzeei f,0.393488753
Megachile gemula f,0.393806988
Ashmeadiella californica m,0.396761914
Nomada rhodalis m,0.398479202
Atoposmia oregona f,0.39889692
Megachile angelarum m,0.399113408
Xylocopa californica f,0.399169103
Ceratina acantha m,0.399914443
Megachile pseudonigra f,0.400300114
Andrena barbilabris f,0.400860287
Dioxys aurifusca m,0.402076876
Halictus rubicundus f,0.402397181
Hoplitis sambuci m,0.403298461
Hylaeus nevadensis f,0.40379011
Osmia texana m,0.403986733
Osmia pentstemonis f,0.404633702
Dianthidium dubium m,0.404734641
Ashmeadiella bucconis f,0.404871169
Andrena chapmanae f,0.4063881
Megachile melanophaea f,0.407801082
