Park,Site,SiteStatus,HeatLoad,TimesBurnt,SiteStatus_old,Aspect,DomSp,Slope,N,E,Lat,Long,State,Country,County,Locality,PolSite,FirePerim
YOSE,L23,MOD,0.75617932,2,MOD,238,L,8,4172386,282172,37.67460178,119.4708745,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,L25,HIGH,0.785512711,2,HIGH,260,L,7,4172997,280768,37.6797693,119.4869646,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,L31,MOD,0.150619027,3,MOD,1,L,10,4172597,279776,37.67592972,119.4980831,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,L32,LOW,0.406948553,3,LOW,180,L,10,4172791,279768,37.67767467,119.4982324,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,L37,LOW,0.68707977,3,LOW,289,L,9,4171002,279975,37.66161469,119.4953473,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1310,NA,NA,NA,NA,12,NA,3,NA,NA,37.67796996,119.572008,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1311,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.68206402,119.549473,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.68225999,119.540409,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1313,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.68230902,119.538143,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1314,NA,NA,NA,NA,300,NA,3,NA,NA,37.67271602,119.565025,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1315,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.68420702,119.533673,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1316,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.67237403,119.496992,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1317,NA,NA,NA,NA,60,NA,2,NA,NA,37.64117902,119.523144,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1318,NA,NA,NA,NA,35,NA,10,NA,NA,37.64122797,119.520879,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1319,NA,NA,NA,NA,198,NA,9,NA,NA,37.64298004,119.523205,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1320,NA,NA,NA,NA,53,NA,1,NA,NA,37.64302899,119.52094,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1321,NA,NA,NA,NA,41278,NA,7,NA,NA,37.64478098,119.523266,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1322,NA,NA,NA,NA,91,NA,14,NA,NA,37.64483001,119.521001,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N1323,NA,NA,NA,NA,104,NA,0.5,NA,NA,37.64487804,119.518736,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,N138,LOW,NA,NA,LOW,20,NA,7,NA,NA,37.66361302,119.569245,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P11,NA,0.448925839,1,NA,190,P,24,4173399,278965,37.68295644,119.5075144,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P110,MOD,0.144158248,1,MOD,358,P,19,4172800,276563,37.67698048,119.534546,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P12,NA,0.574419527,1,NA,204,P,12,4173397,279164,37.68298636,119.5052591,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P13,NA,0.707289485,1,NA,239,P,25,4173792,279572,37.68664146,119.5007558,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P14,NA,0.707466283,1,NA,280,P,12,4173796,279763,37.68672343,119.4985927,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P15,NA,0.462481179,1,NA,187,P,10,4173996,279774,37.68852697,119.4985286,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P16,UNCHANGED,0.127629705,1,UNCHANGED,358,P,37,4171988,277167,37.66981571,119.5274549,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P17,UNCHANGED,0.075274886,1,UNCHANGED,6,P,22,4172196,276958,37.67163794,119.5298861,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P18,LOW,0.007078652,1,LOW,15,P,22,4172600,276567,37.67518063,119.5344393,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P19,LOW,-0.075654176,1,LOW,27,P,23,4172608,276781,37.67530468,119.5320174,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P21,HIGH,0.758552425,2,HIGH,275,P,7,4172993,280971,37.67978179,119.4846634,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P210,NA,0.100062763,2,NA,145,P,14,4173998,282583,37.68921554,119.466699,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P22,MOD,0.623429702,2,MOD,298,P,12,4172983,281167,37.67973863,119.4824397,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P23,UNCHANGED,0.557243386,2,UNCHANGED,308,P,13,4172979,281370,37.67975103,119.4801385,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P25,HIGH,0.755186154,2,HIGH,250,P,11,4173392,280969,37.68337428,119.484806,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P26,LOW,0.389982307,2,LOW,182,P,21,4173202,282371,37.68199721,119.4688636,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P27,LOW,-0.101326424,2,LOW,118,P,20,4173396,282563,37.68378968,119.466746,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P28,LOW,-0.163181156,2,LOW,90,P,8,4173584,282567,37.68548358,119.4667568,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P29,NA,-0.136715194,2,NA,112,P,22,4173806,282573,37.68748417,119.466755,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P32,HIGH,0.800629884,3,HIGH,254,P,6,4173592,280774,37.68512869,119.4870756,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P34,LOW,0.457621983,3,LOW,183,P,7,4173794,280769,37.68694648,119.4871931,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P35,LOW,0.710150679,3,LOW,228,P,10,4173782,280966,37.68688554,119.4849572,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P36,LOW,0.515933494,3,LOW,318,P,8,4171394,279971,37.66514372,119.4955109,CA,USA,Mariposa,Illilouette basin,0,NA
YOSE,P38,MOD,0.717489286,3,MOD,280,P,10,4171598,279771,37.66693267,119.497838,CA,USA,Mariposa,Illilouette basin,0,NA
